"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"08-06-25 / 08:34 PM","Grandstand Infield","425","1","3","27"
"08-06-25 / 06:27 PM","Lexus Reserved","240","7","0","27"
"08-06-25 / 05:27 PM","Grandstand Reserved","412","2","4","17"
"08-06-25 / 05:05 PM","Diamond Infield","120","8","3","103"
"08-05-25 / 01:12 PM","Dugout Infield","21","6","2","293"
"08-05-25 / 12:20 PM","Dugout Reserved","14","11","2","121"
"08-05-25 / 01:19 AM","The Pen","155","24","2","51"
"08-04-25 / 08:15 PM","Vista Infield","324","5","3","40"
"08-04-25 / 04:15 PM","Diamond Reserved","114","1","2","94"
"08-04-25 / 09:57 AM","Dugout Infield","35","7","2","160"
"08-03-25 / 08:26 PM","Diamond Corner","112","6","0","45"
"08-03-25 / 07:22 PM","Lexus Reserved","215","7","2","54"
"08-03-25 / 02:42 PM","Diamond Infield","120","7","3","115"
"08-02-25 / 11:38 PM","Chairman Seats","26","11","2","450"
"08-02-25 / 10:14 PM","Dugout Reserved","15","3","2","160"
"08-02-25 / 08:04 PM","Dugout Reserved","14","2","2","139"
"08-01-25 / 05:45 PM","Diamond Corner","141","2","0","50"
"08-01-25 / 11:33 AM","Grandstand Reserved","415","2","6","18"
"08-01-25 / 11:08 AM","Grandstand Reserved","415","1","2","22"
"08-01-25 / 11:06 AM","Diamond Infield","133","4","0","87"
"08-01-25 / 08:13 AM","Dugout Infield","17","13","2","167"
"07-31-25 / 09:20 PM","Vista Corner","342","6","2","16"
"07-31-25 / 02:44 AM","Xfinity Club Seats","223","1","2","180"
"07-30-25 / 08:21 PM","Grandstand Infield","427","3","4","27"
"07-29-25 / 09:56 PM","Diamond Corner","141","14","2","46"
"07-29-25 / 07:23 PM","Diamond Infield","118","5","7","108"
"07-29-25 / 12:10 AM","Vista Infield","326","3","2","45"
"07-28-25 / 02:29 PM","Xfinity Club Seats","223","2","2","152"
"07-28-25 / 12:37 PM","Diamond Reserved","113","5","6","86"
"07-28-25 / 08:47 AM","Diamond Reserved","114","18","0","72"
"07-27-25 / 11:34 AM","Executive Seats","125","11","2","306"
"07-25-25 / 11:04 PM","Vista Reserved","317","6","6","27"
"07-24-25 / 08:59 PM","Home Run Porch","150","3","4","57"
"07-23-25 / 03:45 PM","Lexus Reserved","215","8","2","52"
"07-23-25 / 03:01 PM","Dugout Infield","17","11","3","209"
"07-22-25 / 11:03 PM","Lexus Reserved","215","14","3","50"
"07-22-25 / 07:38 PM","Vista Infield","325","1","2","52"
"07-21-25 / 11:09 PM","Diamond Infield","118","5","2","107"
"07-21-25 / 08:29 PM","Lexus Infield","217","2","2","82"
"07-21-25 / 06:09 PM","Home Run Porch","145","15","4","40"
"07-20-25 / 09:44 PM","Vista Infield","324","5","9","40"
"07-20-25 / 04:55 PM","Xfinity Club Seats","229","2","2","136"
"07-20-25 / 04:30 PM","Vista Reserved","335","6","8","27"
"07-20-25 / 12:31 AM","Vista Corner","340","4","2","18"
"07-19-25 / 03:24 PM","Vista Reserved","317","7","3","26"
"07-19-25 / 12:40 PM","Dugout Infield","18","9","2","218"
"07-18-25 / 10:00 PM","Vista Infield","320","8","2","36"
