name,id,url,start_date,start_time,datetime_utc,timezone,ticket_status,public_sale_start,public_sale_end,presales,image,info,please_note,seatmap_url,accessibility_info,ticket_limit,official_ticket_url
Seattle Mariners vs. Cleveland Guardians,vvG1HZb4ZoLA2j,https://www.ticketmaster.com/seattle-mariners-vs-cleveland-guardians-seattle-washington-06-15-2025/event/0F006150117C53DC,2025-06-15,13:10:00,2025-06-15T20:10:00Z,America/Los_Angeles,onsale,2024-11-26T17:00:00Z,2025-06-15T22:10:00Z,"[{'name': 'Mariners Partners Presale', 'start': '2024-11-25T18:00:00Z', 'end': '2024-11-26T06:00:00Z'}, {'name': 'Mariners Mail Presale', 'start': '2024-11-25T19:00:00Z', 'end': '2024-11-26T06:00:00Z'}, {'name': 'Mariners Text Subscribers Presale', 'start': '2024-11-25T19:00:00Z', 'end': '2024-11-26T06:00:00Z'}, {'name': 'Ticketmaster Presale', 'start': '2024-11-25T20:00:00Z', 'end': '2024-11-26T06:00:00Z'}]",https://s1.ticketm.net/dam/a/91e/414a7cc0-dada-4975-8eb0-06d223ba091e_RETINA_PORTRAIT_16_9.jpg,"Please visit our Ballpark Information Guide to make the most of your visit to T-Mobile Park. Find the latest information regarding Bag Policy, Prohibited Items, Transportation Options and other Frequently Asked Questions.",The T-Mobile Pen open 2 hours prior to game time. All other gates open 90 minutes prior to first pitch.,https://mapsapi.tmol.io/maps/geometry/3/event/0F006150117C53DC/staticImage?type=png&systemId=HOST,,There will be an 8 ticket limit for this event.,https://www.ticketmaster.com/seattle-mariners-vs-cleveland-guardians-seattle-washington-06-15-2025/event/0F006150117C53DC
Seattle Mariners vs. Cleveland Guardians,vvG1HZb4ZoqgCJ,https://www.ticketmaster.com/seattle-mariners-vs-cleveland-guardians-seattle-washington-06-14-2025/event/0F006150117753A6,2025-06-14,18:40:00,2025-06-15T01:40:00Z,America/Los_Angeles,onsale,2024-11-26T17:00:00Z,2025-06-15T03:40:00Z,"[{'name': 'Mariners Partners Presale', 'start': '2024-11-25T18:00:00Z', 'end': '2024-11-26T06:00:00Z'}, {'name': 'Mariners Mail Presale', 'start': '2024-11-25T19:00:00Z', 'end': '2024-11-26T06:00:00Z'}, {'name': 'Mariners Text Subscribers Presale', 'start': '2024-11-25T19:00:00Z', 'end': '2024-11-26T06:00:00Z'}, {'name': 'Ticketmaster Presale', 'start': '2024-11-25T20:00:00Z', 'end': '2024-11-26T06:00:00Z'}]",https://s1.ticketm.net/dam/a/91e/414a7cc0-dada-4975-8eb0-06d223ba091e_RETINA_PORTRAIT_16_9.jpg,"Please visit our Ballpark Information Guide to make the most of your visit to T-Mobile Park. Find the latest information regarding Bag Policy, Prohibited Items, Transportation Options and other Frequently Asked Questions. EPTIME updated to 6:40p",The T-Mobile Pen open 2 hours prior to game time. All other gates open 90 minutes prior to first pitch.,https://mapsapi.tmol.io/maps/geometry/3/event/0F006150117753A6/staticImage?type=png&systemId=HOST,,There will be an 8 ticket limit for this event.,https://www.ticketmaster.com/seattle-mariners-vs-cleveland-guardians-seattle-washington-06-14-2025/event/0F006150117753A6
Seattle Mariners vs. Boston Red Sox,vvG1HZb4ZoO42P,https://www.ticketmaster.com/seattle-mariners-vs-boston-red-sox-seattle-washington-06-16-2025/event/0F006150118153E5,2025-06-16,18:40:00,2025-06-17T01:40:00Z,America/Los_Angeles,onsale,2024-11-26T17:00:00Z,2025-06-17T03:40:00Z,"[{'name': 'Mariners Partners Presale', 'start': '2024-11-25T18:00:00Z', 'end': '2024-11-26T06:00:00Z'}, {'name': 'Mariners Mail Presale', 'start': '2024-11-25T19:00:00Z', 'end': '2024-11-26T06:00:00Z'}, {'name': 'Mariners Text Subscribers Presale', 'start': '2024-11-25T19:00:00Z', 'end': '2024-11-26T06:00:00Z'}, {'name': 'Ticketmaster Presale', 'start': '2024-11-25T20:00:00Z', 'end': '2024-11-26T06:00:00Z'}]",https://s1.ticketm.net/dam/a/91e/414a7cc0-dada-4975-8eb0-06d223ba091e_RETINA_PORTRAIT_16_9.jpg,"Please visit our Ballpark Information Guide to make the most of your visit to T-Mobile Park. Find the latest information regarding Bag Policy, Prohibited Items, Transportation Options and other Frequently Asked Questions.",The T-Mobile Pen open 2 hours prior to game time. All other gates open 90 minutes prior to first pitch.,https://mapsapi.tmol.io/maps/geometry/3/event/0F006150118153E5/staticImage?type=png&systemId=HOST,,There will be an 8 ticket limit for this event.,https://www.ticketmaster.com/seattle-mariners-vs-boston-red-sox-seattle-washington-06-16-2025/event/0F006150118153E5
Seattle Mariners vs. Boston Red Sox,vvG1HZb4Zo-P8Z,https://www.ticketmaster.com/seattle-mariners-vs-boston-red-sox-seattle-washington-06-17-2025/event/0F00615011865400,2025-06-17,18:40:00,2025-06-18T01:40:00Z,America/Los_Angeles,onsale,2024-11-26T17:00:00Z,2025-06-18T03:40:00Z,"[{'name': 'Mariners Partners Presale', 'start': '2024-11-25T18:00:00Z', 'end': '2024-11-26T06:00:00Z'}, {'name': 'Mariners Mail Presale', 'start': '2024-11-25T19:00:00Z', 'end': '2024-11-26T06:00:00Z'}, {'name': 'Mariners Text Subscribers Presale', 'start': '2024-11-25T19:00:00Z', 'end': '2024-11-26T06:00:00Z'}, {'name': 'Ticketmaster Presale', 'start': '2024-11-25T20:00:00Z', 'end': '2024-11-26T06:00:00Z'}]",https://s1.ticketm.net/dam/a/91e/414a7cc0-dada-4975-8eb0-06d223ba091e_RETINA_PORTRAIT_16_9.jpg,"Please visit our Ballpark Information Guide to make the most of your visit to T-Mobile Park. Find the latest information regarding Bag Policy, Prohibited Items, Transportation Options and other Frequently Asked Questions.",The T-Mobile Pen open 2 hours prior to game time. All other gates open 90 minutes prior to first pitch.,https://mapsapi.tmol.io/maps/geometry/3/event/0F00615011865400/staticImage?type=png&systemId=HOST,,There will be an 8 ticket limit for this event.,https://www.ticketmaster.com/seattle-mariners-vs-boston-red-sox-seattle-washington-06-17-2025/event/0F00615011865400
Seattle Mariners vs. Boston Red Sox,vvG1HZb4Zoxg87,https://www.ticketmaster.com/seattle-mariners-vs-boston-red-sox-seattle-washington-06-18-2025/event/0F006150118B5404,2025-06-18,13:10:00,2025-06-18T20:10:00Z,America/Los_Angeles,onsale,2024-11-26T17:00:00Z,2025-06-18T22:10:00Z,"[{'name': 'Mariners Partners Presale', 'start': '2024-11-25T18:00:00Z', 'end': '2024-11-26T06:00:00Z'}, {'name': 'Mariners Mail Presale', 'start': '2024-11-25T19:00:00Z', 'end': '2024-11-26T06:00:00Z'}, {'name': 'Mariners Text Subscribers Presale', 'start': '2024-11-25T19:00:00Z', 'end': '2024-11-26T06:00:00Z'}, {'name': 'Ticketmaster Presale', 'start': '2024-11-25T20:00:00Z', 'end': '2024-11-26T06:00:00Z'}]",https://s1.ticketm.net/dam/a/91e/414a7cc0-dada-4975-8eb0-06d223ba091e_RETINA_PORTRAIT_16_9.jpg,"Please visit our Ballpark Information Guide to make the most of your visit to T-Mobile Park. Find the latest information regarding Bag Policy, Prohibited Items, Transportation Options and other Frequently Asked Questions.",The T-Mobile Pen open 2 hours prior to game time. All other gates open 90 minutes prior to first pitch.,https://mapsapi.tmol.io/maps/geometry/3/event/0F006150118B5404/staticImage?type=png&systemId=HOST,,There will be an 8 ticket limit for this event.,https://www.ticketmaster.com/seattle-mariners-vs-boston-red-sox-seattle-washington-06-18-2025/event/0F006150118B5404
Chicago Cubs vs. Seattle Mariners,Z7r9jZ1A7uO4S,https://www.ticketmaster.com/event/Z7r9jZ1A7uO4S,2025-06-20,13:20:00,2025-06-20T18:20:00Z,,onsale,1900-01-01T18:00:00Z,2025-06-20T18:20:00Z,[],https://s1.ticketm.net/dam/a/121/dd00b610-772a-4bce-918a-8eb9a22b1121_TABLET_LANDSCAPE_16_9.jpg,,,https://content.resale.ticketmaster.com/graphics/TMResale/1/VenueMaps/1905-162-3-0-WrigleyFieldCubs.PNG,,,https://www.ticketmaster.com/event/Z7r9jZ1A7uO4S
Chicago Cubs vs. Seattle Mariners,Z7r9jZ1A7uO4V,https://www.ticketmaster.com/event/Z7r9jZ1A7uO4V,2025-06-21,13:20:00,2025-06-21T18:20:00Z,,onsale,1900-01-01T18:00:00Z,2025-06-21T18:20:00Z,[],https://s1.ticketm.net/dam/a/121/dd00b610-772a-4bce-918a-8eb9a22b1121_TABLET_LANDSCAPE_16_9.jpg,,,https://content.resale.ticketmaster.com/graphics/TMResale/1/VenueMaps/1905-162-3-0-WrigleyFieldCubs.PNG,,,https://www.ticketmaster.com/event/Z7r9jZ1A7uO4V
Chicago Cubs vs. Seattle Mariners,Z7r9jZ1A7uO4g,https://www.ticketmaster.com/event/Z7r9jZ1A7uO4g,2025-06-22,13:20:00,2025-06-22T18:20:00Z,,onsale,1900-01-01T18:00:00Z,2025-06-22T18:20:00Z,[],https://s1.ticketm.net/dam/a/121/dd00b610-772a-4bce-918a-8eb9a22b1121_TABLET_LANDSCAPE_16_9.jpg,,,https://content.resale.ticketmaster.com/graphics/TMResale/1/VenueMaps/1905-162-3-0-WrigleyFieldCubs.PNG,,,https://www.ticketmaster.com/event/Z7r9jZ1A7uO4g
