"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"07-01-25 / 12:48 AM","Field","118","13","2","34"
"06-30-25 / 09:52 PM","Lower Box","137","12","0","40"
"06-30-25 / 08:20 PM","Lower Box","126","30","2","40"
"06-30-25 / 07:52 PM","Lower Box","119","9","2","45"
"06-30-25 / 05:20 PM","Terrace Club","217","1","2","36"
"06-30-25 / 03:44 PM","Upper","331","2","2","20"
"06-30-25 / 01:44 PM","Lower Outfield","106","23","0","27"
"06-30-25 / 06:37 AM","Lower Box","119","8","2","45"
"06-30-25 / 02:05 AM","Upper","331","2","5","19"
"06-30-25 / 02:02 AM","Lower Box","141","1","0","96"
"06-30-25 / 01:22 AM","Field","146","3","2","32"
"06-30-25 / 12:39 AM","Lower Box","139","9","0","34"
"06-29-25 / 11:56 PM","Left Field Bleachers","183","2","2","18"
"06-29-25 / 10:56 PM","Left Field Bleachers","180","2","7","14"
"06-29-25 / 09:50 PM","Lower Box","139","9","2","52"
"06-29-25 / 07:50 PM","Terrace Club","237","4","2","49"
"06-29-25 / 05:23 PM","Lower Outfield","105","33","2","20"
"06-29-25 / 02:23 PM","Upper","327","1","0","22"
"06-29-25 / 12:20 AM","Lower Box","119","9","2","44"
"06-29-25 / 12:02 AM","Field","117","24","2","33"
"06-28-25 / 11:25 PM","Field","148","40","2","20"
"06-28-25 / 10:20 PM","Lower Box","139","23","4","39"
"06-28-25 / 04:21 PM","Upper","327","10","0","13"
"06-28-25 / 04:11 PM","Lower Box","137","24","5","49"
"06-28-25 / 04:07 PM","Lower Box","120","12","2","48"
"06-28-25 / 03:33 PM","Field","118","11","2","38"
"06-28-25 / 03:02 PM","Field","150","40","6","19"
"06-28-25 / 02:53 PM","Field","143","19","2","35"
"06-28-25 / 01:15 PM","Lower Box","137","12","0","45"
"06-28-25 / 10:30 AM","Field","118","18","2","37"
"06-28-25 / 04:44 AM","Upper","330","20","0","20"
"06-27-25 / 11:08 PM","Field","143","2","2","40"
"06-27-25 / 10:45 PM","Terrace Club","223","2","2","40"
"06-27-25 / 09:26 PM","Left Field Bleachers","181","1","0","16"
"06-27-25 / 09:18 PM","Upper","330","2","2","18"
"06-27-25 / 09:11 PM","Field","114","1","2","47"
"06-27-25 / 08:22 PM","Field","143","20","4","30"
"06-27-25 / 08:03 PM","Lower Box","139","10","0","36"
"06-27-25 / 07:47 PM","Upper","328","1","2","20"
"06-27-25 / 07:23 PM","Lower Box","133","35","4","38"
"06-27-25 / 06:41 PM","Lower Outfield","105","28","0","13"
"06-27-25 / 02:47 PM","Terrace Club","215","9","0","76"
"06-27-25 / 01:07 PM","Field","118","20","2","29"
"06-27-25 / 12:07 PM","Lower Box","140","29","2","45"
"06-27-25 / 11:32 AM","Lower Box","122","29","2","49"
"06-27-25 / 11:32 AM","Lower Box","123","23","2","49"
"06-27-25 / 03:09 AM","Field","117","24","7","26"
"06-27-25 / 12:45 AM","Lower Outfield","109","28","6","21"
"06-26-25 / 09:48 PM","Terrace Club","239","2","2","53"
"06-26-25 / 09:26 PM","Field","112","2","0","68"
"06-26-25 / 09:01 PM","Field","118","2","0","41"
"06-26-25 / 07:54 PM","Left Field Bleachers","183","4","2","14"
"06-26-25 / 07:16 PM","Field","142","10","2","35"
"06-26-25 / 05:15 PM","Lower Box","137","7","0","68"
"06-26-25 / 01:30 PM","Lower Outfield","109","27","4","21"
"06-26-25 / 01:16 PM","Lower Outfield","107","25","2","22"
"06-26-25 / 01:04 PM","Left Field Bleachers","183","2","4","17"
"06-26-25 / 01:00 PM","Center Field Bleachers","193","1","2","20"
"06-26-25 / 11:26 AM","Field","142","39","2","30"
"06-26-25 / 11:04 AM","Lower Outfield","109","27","7","21"
"06-26-25 / 03:37 AM","Field","142","3","2","49"
"06-26-25 / 01:45 AM","Left Field Bleachers","184","2","5","16"
"06-26-25 / 01:45 AM","Upper","339","2","4","19"
"06-26-25 / 01:21 AM","Hit it Here Cafe - Outside Tables","CAF2","1","0","74"
"06-25-25 / 10:11 PM","Lower Box","119","31","5","40"
"06-25-25 / 07:29 PM","Press Club","PL4","3","2","376"
"06-25-25 / 05:43 PM","Lower Box","140","31","2","41"
"06-25-25 / 12:45 PM","Upper","326","1","2","23"
"06-24-25 / 10:48 PM","Lower Box","127","35","7","44"
"06-24-25 / 09:00 PM","Lower Outfield","108","24","2","22"
"06-24-25 / 06:42 PM","Lower Box","134","24","2","50"
"06-24-25 / 06:22 PM","Field","147","40","2","25"
"06-24-25 / 06:00 PM","Lower Outfield","108","27","5","23"
