"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"07-23-25 / 12:31 AM","Field","117","24","2","38"
"07-23-25 / 12:27 AM","Lower Outfield","106","23","0","21"
"07-23-25 / 12:08 AM","Field","117","24","2","38"
"07-23-25 / 12:08 AM","Lower Box","139","10","2","86"
"07-23-25 / 12:05 AM","Lower Box","120","28","2","57"
"07-23-25 / 12:02 AM","Left Field Bleachers","186","1","2","23"
"07-22-25 / 11:24 PM","Left Field Bleachers","186","1","2","23"
"07-22-25 / 11:07 PM","Upper","323","5A","0","23"
"07-22-25 / 09:55 PM","Field","144","1","2","70"
"07-22-25 / 09:44 PM","Upper","325","6","0","20"
"07-22-25 / 09:32 PM","Field","114","2","0","52"
"07-22-25 / 09:29 PM","Field","143","5","4","55"
"07-22-25 / 09:11 PM","Field","142","1","0","72"
"07-22-25 / 08:59 PM","Lower Box","132","35","2","52"
"07-22-25 / 08:51 PM","Lower Box","119","29","2","54"
"07-22-25 / 08:10 PM","Upper","323","10","4","26"
"07-22-25 / 08:08 PM","Upper","333","10","2","19"
"07-22-25 / 07:53 PM","Lower Box","141","29","2","61"
"07-22-25 / 06:47 PM","Upper","325","8","2","28"
"07-22-25 / 06:42 PM","Upper","340","10","2","24"
"07-22-25 / 06:35 PM","Lower Box","122","31","2","64"
"07-22-25 / 06:19 PM","Lower Box","140","21","2","62"
"07-22-25 / 06:16 PM","All Star","14","2","0","126"
"07-22-25 / 06:02 PM","Lower Box","127","16","2","81"
"07-22-25 / 05:42 PM","Lower Box","126","25","0","59"
"07-22-25 / 05:37 PM","Upper","308","1","2","24"
"07-22-25 / 05:23 PM","Field","150","33","9","34"
"07-22-25 / 05:15 PM","Lower Outfield","108","24","0","33"
"07-22-25 / 05:00 PM","Upper","339","9","1","25"
"07-22-25 / 04:35 PM","Center Field Bleachers","190","16","0","21"
"07-22-25 / 04:32 PM","Field","144","19","2","50"
"07-22-25 / 04:20 PM","Diamond Club","33","8","0","585"
"07-22-25 / 04:10 PM","Upper","331","11","2","23"
"07-22-25 / 03:53 PM","Lower Outfield","106","28","5","32"
"07-22-25 / 03:04 PM","Field","118","25","2","38"
"07-22-25 / 02:15 PM","Upper","327","9","2","24"
"07-22-25 / 02:11 PM","Left Field Bleachers","183","4","2","20"
"07-22-25 / 02:05 PM","Left Field Bleachers","187","2","4","19"
"07-22-25 / 01:20 PM","Upper","330","14","2","22"
"07-22-25 / 12:50 PM","Field","150","32","6","34"
"07-22-25 / 12:50 PM","Left Field Bleachers","183","9","4","20"
"07-22-25 / 12:19 PM","Field","116","3","0","73"
"07-22-25 / 12:18 PM","Left Field Bleachers","182","1","2","27"
"07-22-25 / 11:56 AM","Field","144","19","5","50"
