"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"08-08-25 / 10:54 PM","Terrace","332","1","2","46"
"08-08-25 / 10:14 PM","Pavilion Deck","302","2","3","45"
"08-08-25 / 10:12 PM","Field Level Baseline","111","10","0","63"
"08-08-25 / 07:46 PM","Terrace","331","1","2","45"
"08-08-25 / 05:36 PM","Terrace","315","1","4","58"
"08-08-25 / 05:19 PM","Pavilion","210","6","0","44"
"08-08-25 / 04:16 PM","Terrace Deck","428","2","2","46"
"08-08-25 / 03:23 PM","Terrace","317","2","2","42"
"08-08-25 / 11:53 AM","Scoreboard Porch","244","1","3","52"
"08-08-25 / 08:51 AM","Field Level","116","13","3","117"
"08-08-25 / 07:32 AM","Terrace Deck","414","1","2","41"
"08-08-25 / 01:59 AM","Field Level","125","31","2","87"
"08-07-25 / 11:32 PM","Field Level","117","8","2","123"
"08-07-25 / 10:07 PM","Field Level","117","12","2","110"
"08-07-25 / 09:18 PM","Field Level Outfield","144","5","2","66"
"08-07-25 / 07:50 PM","Hall of Fame Club","229","2","0","90"
"08-07-25 / 02:43 PM","Field Level","129","10","2","109"
"08-07-25 / 02:16 PM","Field Level","117","14","2","100"
"08-07-25 / 01:31 PM","Terrace","317","2","2","41"
"08-07-25 / 09:12 AM","Field Level Outfield","104","1","0","90"
"08-07-25 / 08:18 AM","Field Level","115","24","0","78"
"08-06-25 / 10:28 PM","Field Level Baseline","133","21","3","71"
"08-06-25 / 08:24 PM","Field Level","131","23","5","94"
"08-06-25 / 07:34 PM","Field Level Outfield","106","10","2","54"
"08-06-25 / 07:01 PM","Field Level Baseline","114","24","2","69"
"08-06-25 / 06:06 PM","Field Level Baseline","135","17","0","68"
"08-06-25 / 04:32 PM","Terrace","333","1","2","43"
"08-06-25 / 12:59 PM","Field Level Baseline","109","10","0","60"
"08-06-25 / 12:59 PM","Field Level Baseline","133","18","2","71"
"08-06-25 / 09:31 AM","Field Level Outfield","143","1","0","74"
"08-06-25 / 09:04 AM","Terrace","330","1","2","37"
"08-06-25 / 08:31 AM","Terrace","322","1","2","55"
"08-06-25 / 08:04 AM","Terrace Deck","428","10","2","35"
"08-05-25 / 09:44 PM","Field Level Outfield","105","9","0","59"
"08-05-25 / 09:44 PM","Terrace Deck","428","7","4","37"
"08-05-25 / 09:24 PM","Field Level","117","8","0","127"
"08-05-25 / 09:15 PM","Field Level Baseline","136","8","0","53"
"08-05-25 / 08:54 PM","Terrace","332","1","2","44"
"08-05-25 / 08:29 PM","Field Level Baseline","134","17","2","76"
"08-05-25 / 07:54 PM","Terrace","332","1","2","40"
"08-05-25 / 07:45 PM","Field Level Outfield","103","1","2","100"
"08-05-25 / 07:02 PM","Field Level Baseline","134","14","6","67"
"08-05-25 / 06:26 PM","Field Level","117","7","2","129"
"08-05-25 / 06:05 PM","Field Level Outfield","144","5","2","65"
"08-05-25 / 06:02 PM","Field Level Baseline","136","7","7","78"
"08-05-25 / 05:54 PM","Field Level Outfield","148","7","0","59"
"08-05-25 / 05:48 PM","Field Level Outfield","145","18","2","73"
"08-05-25 / 05:34 PM","Terrace Deck","423","1","2","39"
"08-05-25 / 03:49 PM","Field Level Outfield","104","3","2","85"
"08-05-25 / 12:52 PM","Terrace","333","1","2","40"
"08-05-25 / 11:54 AM","Pavilion","203","5","0","46"
"08-05-25 / 09:40 AM","Field Level Baseline","111","8","2","63"
"08-05-25 / 08:54 AM","Terrace","323","1","2","53"
"08-05-25 / 08:15 AM","Field Level Baseline","113","20","0","68"
"08-04-25 / 09:38 PM","CP Rankin Club","G","5","2","306"
"08-04-25 / 09:30 PM","Pavilion Deck","301","2","7","42"
"08-04-25 / 09:19 PM","Terrace","330","3","0","43"
"08-04-25 / 06:40 PM","Field Level Baseline","114","11","2","81"
"08-04-25 / 06:09 PM","Scoreboard Porch","243","2","2","50"
"08-04-25 / 05:06 PM","Field Level Baseline","134","10","2","81"
"08-04-25 / 04:18 PM","Field Level Baseline","134","38","0","59"
"08-04-25 / 04:04 PM","Terrace","325","1","2","50"
"08-04-25 / 03:14 PM","Pavilion","204","1","2","52"
"08-04-25 / 02:48 PM","Field Level","117","20","3","100"
"08-04-25 / 02:39 PM","Field Level Baseline","134","13","1","67"
"08-04-25 / 01:15 PM","Field Level Baseline","110","37","0","63"
"08-04-25 / 12:36 PM","Pavilion","207","1","2","54"
"08-04-25 / 10:57 AM","Terrace","330","1","2","41"
"08-04-25 / 09:29 AM","Field Level Baseline","136","8","0","58"
"08-03-25 / 10:38 PM","Field Level","115","11","2","93"
"08-03-25 / 10:13 PM","Terrace Deck","421","14","0","71"
"08-03-25 / 09:46 PM","Hall of Fame Club","224","6","0","126"
"08-03-25 / 09:13 PM","Field Level Baseline","133","25","2","80"
"08-03-25 / 06:40 PM","Field Level Baseline","134","9","2","66"
"08-03-25 / 03:40 PM","Field Level","117","27","2","84"
"08-03-25 / 02:42 PM","Field Level","130","1","2","199"
"08-03-25 / 10:42 AM","Terrace Deck","428","10","2","31"
"08-03-25 / 10:19 AM","Terrace Deck","428","10","3","31"
"08-02-25 / 10:13 PM","Field Level Baseline","136","21","2","50"
"08-02-25 / 06:12 PM","Pavilion Deck","307","3","2","35"
"08-02-25 / 05:13 PM","Terrace Deck","417","1","4","43"
"08-02-25 / 04:50 PM","Field Level Baseline","137","7","2","60"
"08-02-25 / 03:05 PM","Pavilion Deck","307","2","3","40"
"08-01-25 / 10:04 PM","Terrace Deck","427","11","6","35"
"08-01-25 / 08:25 PM","Terrace","319","1","4","55"
"08-01-25 / 06:19 PM","Field Level","131","1","0","135"
"08-01-25 / 03:24 PM","Field Level Outfield","106","10","2","54"
"08-01-25 / 12:14 PM","Terrace","320","4","0","68"
"08-01-25 / 11:07 AM","Hall of Fame Club","231","1","2","94"
"08-01-25 / 06:38 AM","Pavilion","203","1","2","47"
"07-31-25 / 11:07 PM","Field Level","118","16","2","97"
"07-31-25 / 10:19 PM","Field Level Baseline","134","13","0","55"
"07-31-25 / 09:19 PM","Field Level","129","16","2","92"
"07-31-25 / 07:51 PM","Arcade","237","3","0","45"
"07-31-25 / 05:21 PM","Field Level Outfield","104","12","0","53"
"07-31-25 / 04:56 PM","Field Level","131","1","0","90"
"07-31-25 / 03:51 PM","Field Level Outfield","142","19","0","46"
"07-31-25 / 03:21 PM","Field Level Baseline","114","16","2","74"
"07-31-25 / 02:17 PM","CP Rankin Club","B","15","2","176"
"07-31-25 / 01:17 PM","Hall of Fame Club","214","2","2","120"
"07-30-25 / 09:51 PM","Terrace","318","1","2","53"
"07-30-25 / 08:26 PM","Field Level Baseline","110","2","2","99"
"07-30-25 / 06:26 PM","Field Level Baseline","113","24","0","63"
"07-30-25 / 01:42 PM","Arcade","236","1","2","47"
"07-30-25 / 12:42 PM","CP Rankin Club","C","15","2","208"
"07-30-25 / 10:51 AM","Pavilion","208","1","3","51"
"07-29-25 / 09:40 PM","Field Level Baseline","134","10","2","66"
"07-29-25 / 09:40 PM","Pavilion","208","1","2","50"
"07-29-25 / 12:56 AM","Pavilion Deck","309","2","4","40"
"07-29-25 / 12:03 AM","Scoreboard Porch","241","1","2","48"
"07-28-25 / 09:54 PM","Field Level Outfield","102","2","2","70"
"07-28-25 / 08:35 PM","Pavilion","203","1","2","44"
"07-28-25 / 06:21 PM","Field Level","116","12","6","107"
"07-28-25 / 06:19 PM","Field Level Baseline","135","7","2","65"
"07-28-25 / 06:19 PM","Field Level Outfield","102","2","5","70"
"07-28-25 / 03:15 PM","Pavilion Deck","307","1","2","43"
"07-28-25 / 03:11 PM","Hall of Fame Club","214","8","0","103"
"07-28-25 / 01:05 PM","Scoreboard Porch","245","1","2","42"
"07-28-25 / 11:47 AM","Field Level","130","1","0","176"
"07-28-25 / 11:00 AM","Field Level Outfield","144","5","3","62"
"07-28-25 / 07:58 AM","Field Level Baseline","112","1","2","128"
"07-27-25 / 08:26 PM","Field Level","132","6","2","139"
"07-27-25 / 03:46 PM","Field Level","115","1","0","180"
"07-27-25 / 03:13 PM","Terrace Deck","430","2","2","35"
"07-27-25 / 01:01 PM","Arcade","236","4","2","72"
"07-26-25 / 09:51 PM","Field Level","122","30","2","92"
"07-26-25 / 02:55 PM","Field Level Baseline","113","9","2","71"
"07-26-25 / 11:47 AM","Terrace","319","2","0","45"
"07-26-25 / 11:40 AM","Terrace","331","1","4","44"
"07-26-25 / 10:49 AM","Field Level Baseline","113","28","2","65"
"07-25-25 / 11:16 PM","Field Level","129","12","2","93"
"07-25-25 / 09:50 PM","Field Level Baseline","113","28","2","65"
"07-25-25 / 05:41 PM","Terrace","333","1","2","42"
"07-25-25 / 02:12 PM","Pavilion","208","2","0","36"
"07-25-25 / 12:31 PM","Terrace","326","2","2","40"
"07-25-25 / 11:04 AM","Field Level","132","4","4","95"
"07-24-25 / 05:36 PM","CP Rankin Club","D","17","2","188"
"07-24-25 / 04:47 PM","Field Level Baseline","136","26","0","45"
"07-24-25 / 04:36 PM","CP Rankin Club","C","13","2","279"
"07-24-25 / 10:47 AM","Scoreboard Porch","244","1","2","40"
"07-23-25 / 07:04 PM","Field Level Baseline","137","2","2","68"
"07-23-25 / 05:33 PM","Field Level Baseline","113","8","3","73"
"07-23-25 / 02:50 PM","Field Level","116","7","0","135"
"07-23-25 / 12:45 PM","Field Level Outfield","104","2","2","74"
"07-22-25 / 10:43 PM","Field Level","116","10","2","105"
"07-22-25 / 09:28 AM","Field Level","123","28","2","97"
"07-21-25 / 10:09 PM","Pavilion Deck","308","2","5","35"
"07-21-25 / 03:35 PM","Field Level","116","9","2","85"
"07-21-25 / 08:07 AM","Field Level","115","2","0","158"
"07-20-25 / 11:46 PM","Field Level","116","11","2","83"
"07-20-25 / 06:35 PM","Hall of Fame Club","228","3","4","99"
"07-19-25 / 08:05 PM","Pavilion","204","4","2","40"
"07-19-25 / 04:24 PM","Pavilion Deck","301","3","2","32"
"07-19-25 / 02:00 PM","Pavilion Deck","301","1","2","43"
"07-18-25 / 09:43 PM","Pavilion","211","1","2","52"
"07-18-25 / 08:43 PM","Pavilion Deck","301","1","2","43"
"07-18-25 / 08:23 PM","Field Level Baseline","138","7","2","60"
"07-18-25 / 07:30 PM","Field Level","116","5","2","107"
"07-18-25 / 12:25 AM","Field Level Outfield","105","2","3","66"
"07-17-25 / 11:14 PM","Field Level","117","2","0","238"
"07-17-25 / 06:25 PM","Field Level Baseline","114","34","0","63"
"07-17-25 / 02:21 PM","Pavilion","210","1","2","54"
"07-16-25 / 10:03 PM","Hall of Fame Club","217","2","2","108"
"07-16-25 / 12:41 PM","Scoreboard Porch","244","1","2","456"
"07-16-25 / 10:24 AM","Field Level","125","26","2","73"
"07-15-25 / 09:30 PM","Field Level","116","15","2","92"
"07-14-25 / 04:09 PM","Field Level Baseline","133","19","3","69"
"07-14-25 / 02:51 PM","Field Level","129","16","2","93"
"07-14-25 / 01:13 PM","CP Rankin Club","A","13","0","214"
"07-14-25 / 01:13 PM","CP Rankin Club","B","10","2","228"
"07-14-25 / 12:43 PM","CP Rankin Club","E","12","2","203"
"07-14-25 / 11:58 AM","CP Rankin Club","A","12","2","179"
"07-14-25 / 11:54 AM","CP Rankin Club","A","9","0","203"
"07-13-25 / 09:36 PM","Field Level Baseline","138","7","4","60"
"07-13-25 / 09:45 AM","Hall of Fame Club","228","2","2","88"
"07-13-25 / 12:09 AM","Field Level","132","5","2","97"
"07-12-25 / 05:28 PM","Field Level","132","22","0","66"
"07-12-25 / 02:28 PM","Field Level","128","24","2","90"
"07-12-25 / 12:19 PM","Field Level","130","6","2","107"
"07-11-25 / 09:36 PM","Field Level Baseline","136","1","2","91"
"07-11-25 / 07:22 AM","Field Level Outfield","101","2","4","97"
"07-10-25 / 10:15 PM","Field Level Baseline","111","1","2","108"
"07-10-25 / 08:52 PM","Terrace","325","1","3","51"
"07-10-25 / 03:23 PM","Pavilion","202","1","2","45"
"07-08-25 / 10:54 PM","Field Level","125","28","3","92"
"07-08-25 / 12:20 PM","Terrace","316","1","2","52"
"07-08-25 / 01:57 AM","Field Level Baseline","136","1","2","91"
"07-07-25 / 09:42 PM","Field Level Baseline","114","17","2","82"
"07-07-25 / 09:42 PM","Field Level Baseline","114","16","2","84"
"07-07-25 / 08:10 PM","Field Level Outfield","145","3","0","72"
"07-07-25 / 03:21 PM","Pavilion","209","2","2","50"
"07-06-25 / 03:40 PM","Field Level","131","12","2","90"
"07-05-25 / 07:04 PM","Hall of Fame Club","228","2","3","94"
"07-05-25 / 04:51 PM","Field Level Baseline","111","1","2","111"
"07-05-25 / 01:56 PM","Pavilion","209","1","5","59"
"07-03-25 / 10:15 PM","Field Level","129","14","0","90"
"07-03-25 / 06:21 AM","Field Level Baseline","114","5","2","114"
"07-02-25 / 12:16 PM","Field Level Outfield","105","3","2","70"
"07-02-25 / 10:43 AM","Pavilion Deck","307","3","2","41"
"07-01-25 / 07:15 PM","Field Level Outfield","142","5","2","64"
"07-01-25 / 12:47 PM","Pavilion Deck","303","3","2","40"
"06-30-25 / 05:08 PM","CP Rankin Club","G","15","2","179"
"06-30-25 / 10:58 AM","Hall of Fame Club","228","6","2","90"
"06-30-25 / 08:14 AM","Field Level Baseline","112","8","4","86"
"06-29-25 / 06:29 AM","Field Level Outfield","104","2","2","73"
"06-29-25 / 12:19 AM","Terrace","321","1","3","64"
"06-28-25 / 06:38 PM","Field Level Outfield","147","4","2","66"
"06-28-25 / 03:25 PM","Hall of Fame Club","227","5","6","96"
"06-28-25 / 02:15 PM","Field Level Baseline","112","8","6","86"
