"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"08-07-25 / 09:45 PM","Metropolitan Diamond","113","2","2","388"
"08-07-25 / 09:37 PM","Promenade Reserved","521","4","2","40"
"08-07-25 / 09:34 PM","Metropolitan Bronze","112","13","4","135"
"08-07-25 / 09:25 PM","Excelsior Box","312","3","2","91"
"08-07-25 / 08:58 PM","Promenade Infield","514","17","2","40"
"08-07-25 / 08:57 PM","Excelsior Silver","317","2","2","132"
"08-07-25 / 07:51 PM","Coca-Cola Corner","301","16","9","45"
"08-07-25 / 07:36 PM","Baseline Box","106","12","2","59"
"08-07-25 / 06:28 PM","Metropolitan Silver","124","8","2","115"
"08-07-25 / 06:25 PM","Promenade Infield","518","5","2","39"
"08-07-25 / 05:55 PM","Excelsior Silver","322","2","2","108"
"08-07-25 / 05:52 PM","Clover/Fiserv Silver","14","9","0","176"
"08-07-25 / 05:49 PM","Excelsior Box","310","7","2","78"
"08-07-25 / 05:37 PM","Metropolitan Silver","123","9","2","124"
"08-07-25 / 04:27 PM","Promenade Reserved Gold","528","1","2","37"
"08-07-25 / 04:05 PM","Baseline Box","106","17","2","53"
"08-07-25 / 03:57 PM","Promenade Infield","512","10","2","38"
"08-07-25 / 03:26 PM","Baseline Silver","129","20","7","68"
"08-07-25 / 02:34 PM","Baseline Box","106","22","2","53"
"08-07-25 / 02:28 PM","Baseline Silver","107","3","2","104"
"08-07-25 / 02:25 PM","Field Box","126","20","2","65"
"08-07-25 / 02:25 PM","Promenade Baseline","409","2","2","58"
"08-07-25 / 02:21 PM","Promenade Infield","514","3","2","46"
"08-07-25 / 01:06 PM","Metropolitan Field Platinum","114","1","0","510"
"08-07-25 / 10:56 AM","Promenade Infield","516","10","2","37"
"08-07-25 / 10:38 AM","Excelsior Reserved","307","5","2","59"
"08-06-25 / 10:49 PM","Promenade Outfield","535","14","2","22"
"08-06-25 / 10:41 PM","Field Box","126","28","2","55"
"08-06-25 / 10:30 PM","Field Box","109","7","2","85"
"08-06-25 / 10:26 PM","Promenade Outfield Gold","505","1","2","41"
"08-06-25 / 10:16 PM","Field Silver","125","1","2","160"
"08-06-25 / 09:39 PM","Promenade Infield","513","3","3","44"
"08-06-25 / 09:17 PM","Excelsior Box","327","8","2","73"
"08-06-25 / 09:17 PM","Field Box","109","18","2","70"
"08-06-25 / 09:15 PM","Promenade Infield","515","5","0","35"
"08-06-25 / 08:06 PM","Promenade Infield","515","2","2","44"
"08-06-25 / 07:55 PM","Promenade Baseline Gold","422","1","0","59"
"08-06-25 / 05:59 PM","Clover/Fiserv Diamond","19","2","2","242"
"08-06-25 / 05:59 PM","Field Reserved Platinum","135","1","2","116"
"08-06-25 / 05:09 PM","Field Box","126","11","4","95"
"08-06-25 / 05:09 PM","Field Reserved Platinum","138","1","2","78"
"08-06-25 / 03:00 PM","Coca-Cola Corner","301","10","2","40"
"08-06-25 / 12:56 PM","Baseline Box","104","32","2","47"
"08-06-25 / 11:26 AM","Promenade Infield","515","2","0","38"
"08-05-25 / 09:15 PM","Promenade Box","435","3","2","29"
"08-05-25 / 08:05 PM","Promenade Reserved Gold","509","1","2","46"
"08-05-25 / 07:51 PM","Field Reserved","136","3","2","64"
"08-05-25 / 06:35 PM","Promenade Outfield","535","4","3","26"
"08-05-25 / 06:23 PM","Clover/Fiserv Diamond","13","2","2","271"
"08-05-25 / 06:18 PM","Field Reserved","101","15","2","52"
"08-05-25 / 05:51 PM","Excelsior Reserved","307","4","4","60"
"08-05-25 / 04:55 PM","Promenade Reserved","506","4","2","32"
"08-05-25 / 04:23 PM","Excelsior Reserved","331","10","2","52"
"08-05-25 / 03:20 PM","Field Box","110","13","0","94"
"08-05-25 / 02:55 PM","Promenade Outfield","502","13","2","25"
"08-05-25 / 01:00 PM","Baseline Box","130","29","2","58"
"08-05-25 / 11:59 AM","Promenade Silver","417","4","2","70"
"08-05-25 / 01:00 AM","Metropolitan Silver","112","8","2","122"
"08-04-25 / 10:26 PM","Field Reserved","101","7","2","73"
"08-04-25 / 10:07 PM","Promenade Reserved","528","15","2","25"
"08-04-25 / 07:30 PM","Excelsior Reserved","331","10","4","58"
"08-04-25 / 06:34 PM","Metropolitan Gold","112","5","2","186"
"08-04-25 / 06:15 PM","Field Reserved","139","7","2","65"
"08-04-25 / 04:44 PM","Coca-Cola Corner","303","2","2","58"
"08-04-25 / 02:30 PM","Field Reserved","139","9","2","60"
"08-04-25 / 02:21 PM","Promenade Reserved Gold","523","1","3","44"
"08-04-25 / 11:21 AM","The Porch Presented by Hijole!","334","11","2","48"
"08-03-25 / 08:49 PM","Promenade Outfield Gold","537","1","2","31"
"08-03-25 / 07:41 PM","Big Apple Reserved","142","18","7","49"
"08-03-25 / 05:49 PM","The Cadillac Club at Payson's Platinum","CADI","1","2","331"
"08-03-25 / 03:50 PM","Field Reserved","134","3","2","81"
"08-03-25 / 03:02 PM","Promenade Outfield","536","6","2","26"
"08-03-25 / 02:46 PM","Promenade Outfield","538","12","2","23"
"08-03-25 / 01:44 PM","Baseline Box","130","30","2","55"
"08-03-25 / 11:44 AM","Promenade Infield Gold","516","1","2","56"
"08-03-25 / 09:24 AM","Promenade Infield","512","2","2","45"
"08-03-25 / 12:05 AM","Promenade Baseline","420","4","2","54"
"08-02-25 / 11:02 PM","Excelsior Box","328","4","2","70"
"08-02-25 / 10:46 PM","Promenade Baseline Gold","425","1","2","49"
