"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"08-08-25 / 07:32 PM","Lower Box","62","9","2","23"
"08-08-25 / 05:38 PM","Lower Box","60","2","5","37"
"08-08-25 / 12:56 PM","Terrace Box","17","1","2","16"
"08-08-25 / 11:26 AM","Terrace Infield Box","29","9","2","32"
"08-07-25 / 10:56 PM","Field Box Between the Bases","22","20","2","25"
"08-07-25 / 10:23 PM","Lower Box","60","9","2","13"
"08-07-25 / 09:07 PM","Eutaw Street Bleacher","92","3","9","20"
"08-07-25 / 08:35 PM","Field Box Between the Bases","30","6","0","73"
"08-07-25 / 04:17 PM","Upper Box","338","3","2","11"
"08-07-25 / 03:36 PM","Lower Box","60","5","0","17"
"08-07-25 / 03:15 PM","Lower Box","64","1","2","37"
"08-07-25 / 01:59 PM","Field Box Between the Bases","26","21","2","32"
"08-07-25 / 01:59 PM","Upper Box","318","1","5","18"
"08-06-25 / 08:33 PM","Field Box Between the Bases","26","22","2","53"
"08-06-25 / 02:51 PM","Bird Bath","86","4","2","23"
"08-06-25 / 10:21 AM","Terrace Infield Box","23","2","2","15"
"08-05-25 / 11:10 PM","Field Box Between the Bases","52","1","2","97"
"08-05-25 / 10:00 PM","Field Box Outside the Bases","56","15","2","24"
"08-05-25 / 04:59 PM","Lower Infield Reserve","53","13","2","25"
"08-05-25 / 04:05 PM","Field Box Outside the Bases","56","10","0","25"
"08-05-25 / 03:45 PM","Terrace Box","17","3","0","22"
"08-05-25 / 03:14 PM","Lower Box","14","11","2","14"
"08-05-25 / 12:11 PM","Upper Box","320","1","4","16"
"08-05-25 / 10:37 AM","Lower Box","12","1","9","45"
"08-05-25 / 10:09 AM","Field Box Outside the Bases","18","2","2","83"
"08-05-25 / 09:20 AM","Lower Box","14","4","1","35"
"08-05-25 / 12:17 AM","Field Box Between the Bases","30","4","0","83"
"08-04-25 / 09:11 PM","Field Box Between the Bases","38","11","2","79"
"08-04-25 / 06:14 PM","Terrace Infield Box","53","5","2","26"
"08-04-25 / 03:40 PM","Lower Box","62","4","2","20"
"08-04-25 / 09:57 AM","Lower Box","14","5","2","20"
"08-03-25 / 10:15 PM","Lower Box","12","5","2","20"
"08-03-25 / 08:58 PM","Field Box Between the Bases","34","27","2","30"
"08-03-25 / 08:53 PM","Upper Reserve","334","16","2","11"
"08-03-25 / 05:53 PM","Upper Reserve","330","18","2","10"
"08-02-25 / 11:14 AM","Field Box Outside the Bases","56","6","0","49"
"08-01-25 / 10:47 PM","Field Box Between the Bases","32","26","2","29"
"08-01-25 / 06:03 PM","Field Box Between the Bases","38","18","2","63"
"08-01-25 / 02:03 PM","Field Box Between the Bases","22","6","2","62"
"08-01-25 / 12:07 AM","Field Box Between the Bases","42","20","2","34"
"07-31-25 / 03:56 PM","Field Box Between the Bases","20","6","4","61"
"07-30-25 / 10:26 PM","Eutaw Street Bleacher","98","3","6","18"
"07-30-25 / 09:56 PM","Field Box Between the Bases","46","26","2","55"
"07-30-25 / 01:26 PM","Upper Box","338","1","2","26"
"07-30-25 / 01:30 AM","Lower Infield Reserve","53","10","5","25"
"07-29-25 / 03:30 PM","Lower Box","12","5","0","28"
"07-29-25 / 11:28 AM","Field Box Between the Bases","20","13","2","60"
"07-29-25 / 10:27 AM","Terrace Infield Box","27","3","2","29"
"07-29-25 / 08:49 AM","Field Box Between the Bases","46","3","2","95"
"07-28-25 / 08:49 PM","Field Box Between the Bases","34","11","0","65"
"07-28-25 / 08:15 PM","Lower Box","14","9","2","24"
"07-27-25 / 09:47 AM","Club Box Infield","218","3","5","43"
"07-24-25 / 08:44 AM","Club Box Infield","248","8","2","45"
