"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"07-05-25 / 12:24 PM","Bleachers","202","7","6","22"
"07-05-25 / 11:35 AM","Grandstand Outfield","410","3","2","9"
"07-05-25 / 11:24 AM","Terrace Outfield","328","1","2","21"
"07-05-25 / 09:35 AM","Main Infield","213","1","2","81"
"07-05-25 / 08:18 AM","Main Infield","213","5","2","52"
"07-05-25 / 05:27 AM","Field Outfield","134","8","6","54"
"07-04-25 / 10:19 PM","Grandstand Outfield","430","9","2","9"
"07-04-25 / 08:03 PM","Legends Suite","15B","4","0","432"
"07-04-25 / 07:39 PM","Bleachers","236","3","6","27"
"07-04-25 / 07:16 PM","Grandstand Infield","423","7","2","9"
"07-04-25 / 06:23 PM","Field MVP","117A","7","0","135"
"07-04-25 / 06:04 PM","Grandstand Outfield","428","5","2","13"
"07-04-25 / 05:28 PM","Terrace Outfield","311","4","2","18"
"07-04-25 / 04:32 PM","Terrace Outfield","311","2","5","22"
"07-04-25 / 04:02 PM","Main Infield","215","10","2","63"
"07-04-25 / 03:49 PM","Field Outfield","108","10","2","37"
"07-04-25 / 01:41 PM","Field MVP","115","11","2","123"
"07-04-25 / 01:15 PM","Field Infield","128","8","3","60"
"07-04-25 / 01:12 PM","Main Outfield","228","3","3","33"
"07-04-25 / 01:08 PM","Bleachers","202","11","3","20"
"07-04-25 / 01:06 PM","Field Infield","113","15","2","59"
"07-04-25 / 01:04 PM","Field Outfield","135","5","2","50"
"07-04-25 / 12:56 PM","Main Infield","215","15","2","59"
"07-04-25 / 12:10 PM","Grandstand Outfield","413","6","2","10"
"07-04-25 / 12:09 PM","Field Infield","114A","2","2","153"
"07-04-25 / 11:14 AM","Grandstand Infield","422","10","2","11"
"07-04-25 / 10:53 AM","Legends Suite","15A","3","0","450"
"07-04-25 / 10:53 AM","Legends Suite","23","3","2","540"
"07-04-25 / 08:56 AM","Field Outfield","131","7","9","45"
"07-04-25 / 07:16 AM","Field Outfield","104","8","2","43"
"07-04-25 / 02:15 AM","Field Infield","126","3","2","89"
"07-04-25 / 02:15 AM","Main Outfield","206","3","4","23"
"07-04-25 / 12:31 AM","Grandstand Infield","423","2","5","20"
"07-03-25 / 11:48 PM","Grandstand Infield","421","10","2","9"
"07-03-25 / 10:51 PM","Main Outfield","229","12","1","27"
"07-03-25 / 09:53 PM","Grandstand Outfield","411","7","2","10"
"07-03-25 / 09:28 PM","Grandstand Infield","422","5","7","11"
"07-03-25 / 08:22 PM","Grandstand Infield","417","2","2","15"
"07-03-25 / 07:36 PM","Terrace Outfield","309","2","15","16"
"07-03-25 / 07:30 PM","Grandstand Infield","423","7","3","9"
"07-03-25 / 07:29 PM","Main Infield","213","4","2","51"
"07-03-25 / 06:51 PM","Terrace Infield","315","1","2","31"
"07-03-25 / 06:10 PM","Bleachers","202","1","2","50"
"07-03-25 / 05:10 PM","Main Outfield","228","3","2","36"
"07-03-25 / 01:24 PM","Field MVP","124","2","2","185"
"07-03-25 / 12:24 PM","Field MVP","116","8","2","141"
"07-03-25 / 11:21 AM","Grandstand Infield","422","4","2","10"
"07-03-25 / 11:21 AM","Grandstand Infield","415","10","13","12"
"07-02-25 / 11:23 PM","Bleachers","203","2","0","41"
"07-02-25 / 10:09 PM","Bleachers","238","24","1","29"
"07-02-25 / 09:44 PM","Main Infield","227B","12","2","55"
"07-02-25 / 09:33 PM","Field Outfield","109","12","2","36"
"07-02-25 / 08:14 PM","Field Infield","112","3","2","90"
"07-02-25 / 06:09 PM","Bleachers","202","14","2","17"
"07-02-25 / 05:46 PM","Grandstand Infield","420A","5","0","9"
"07-02-25 / 05:46 PM","Bleachers","202","15","0","19"
"07-02-25 / 05:37 PM","Main Outfield","211","3","7","43"
"07-02-25 / 05:17 PM","Field MVP","116","3","0","234"
"07-02-25 / 05:12 PM","Legends Suite","27A","2","0","383"
"07-02-25 / 04:55 PM","Field Outfield","104","11","0","40"
"07-02-25 / 04:23 PM","Field Outfield","106","17","10","50"
"07-02-25 / 04:12 PM","Field Outfield","105","2","2","89"
"07-02-25 / 02:06 PM","Legends Suite","15A","2","1","585"
"07-02-25 / 02:02 PM","Terrace Outfield","306","2","2","10"
"07-02-25 / 01:31 PM","Terrace Outfield","330","2","3","18"
"07-02-25 / 01:31 PM","Grandstand Infield","417","2","2","15"
"07-02-25 / 01:18 PM","Main Infield","224","3","4","67"
"07-02-25 / 12:47 PM","Grandstand Infield","422","2","2","11"
"07-02-25 / 12:36 PM","Main Outfield","228","19","3","33"
"07-02-25 / 12:20 PM","Legends Suite","17A","4","2","630"
"07-02-25 / 11:56 AM","Main Outfield","230","1","3","48"
"07-02-25 / 10:54 AM","Main Infield","216","7","9","85"
"07-02-25 / 09:58 AM","Main Outfield","228","11","2","38"
"07-02-25 / 08:25 AM","Bleachers","202","18","2","17"
"07-02-25 / 07:06 AM","Field MVP","121B","1","2","184"
"07-02-25 / 05:56 AM","Field Outfield","109","13","2","36"
"07-02-25 / 01:29 AM","Terrace Infield","326","1","2","29"
