"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"06-29-25 / 08:43 PM","Lower Box","141","1","2","132"
"06-29-25 / 08:34 PM","Field","118","2","2","61"
"06-29-25 / 08:33 PM","Field","142","11","2","41"
"06-29-25 / 08:24 PM","Terrace Club","216","10","2","39"
"06-29-25 / 08:20 PM","Lower Box","140","7","0","39"
"06-29-25 / 08:10 PM","Upper","340","13","0","18"
"06-29-25 / 07:39 PM","Lower Box","126","30","4","44"
"06-29-25 / 07:39 PM","Lower Box","132","11","2","68"
"06-29-25 / 05:50 PM","Lower Box","121","8","0","45"
"06-29-25 / 05:49 PM","Upper","331","11","1","15"
"06-29-25 / 04:49 PM","Upper","331","11","3","15"
"06-29-25 / 10:31 AM","Upper","321","1","0","27"
"06-29-25 / 04:03 AM","Lower Box","141","3","2","57"
"06-29-25 / 02:06 AM","Left Field Bleachers","185","2","4","17"
"06-29-25 / 12:17 AM","Left Field Bleachers","186","1","2","17"
"06-28-25 / 11:44 PM","Upper","325","10","2","18"
"06-28-25 / 10:37 PM","Field","143","5","5","40"
"06-28-25 / 09:42 PM","Field","144","40","3","24"
"06-28-25 / 09:42 PM","Upper","321","25","0","22"
"06-28-25 / 09:29 PM","Left Field Bleachers","184","1","2","20"
"06-28-25 / 09:19 PM","Upper","329","12","2","14"
"06-28-25 / 08:05 PM","Lower Box","137","24","3","44"
"06-28-25 / 07:35 PM","Field","118","5","2","53"
"06-28-25 / 07:16 PM","Upper","330","12","2","15"
"06-28-25 / 06:35 PM","Lower Box","124","24","2","56"
"06-28-25 / 06:08 PM","Field","117","24","2","33"
"06-28-25 / 05:14 PM","Lower Outfield","108","23","0","45"
"06-28-25 / 04:14 PM","Lower Box","138","31","2","41"
"06-28-25 / 02:32 PM","Lower Outfield","109","23","0","29"
"06-28-25 / 02:25 PM","Lower Box","129","36","5","45"
"06-28-25 / 04:19 AM","Upper","327","10","2","14"
"06-28-25 / 12:48 AM","Upper","325","10","4","15"
"06-28-25 / 12:30 AM","Lower Box","119","8","2","50"
"06-28-25 / 12:24 AM","Lower Box","124","25","2","55"
"06-27-25 / 11:12 PM","Lower Box","122","38","0","66"
"06-27-25 / 11:00 PM","Lower Box","135","24","2","46"
"06-27-25 / 09:45 PM","Lower Box","124","21","0","44"
"06-27-25 / 09:34 PM","Lower Box","125","30","2","50"
"06-27-25 / 09:33 PM","Terrace Club","237","1","0","108"
"06-27-25 / 09:33 PM","Upper","331","1","2","35"
"06-27-25 / 05:18 PM","Upper","327","1","2","24"
"06-27-25 / 04:37 PM","Upper","341","11","0","18"
"06-27-25 / 03:37 PM","Upper","327","10","5","14"
"06-27-25 / 12:18 PM","Field","114","9","0","33"
"06-27-25 / 02:14 AM","Upper","333","10","2","15"
"06-27-25 / 01:15 AM","Lower Box","122","29","2","40"
"06-26-25 / 11:53 PM","Left Field Bleachers","184","2","2","18"
