"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"06-12-25 / 03:08 PM","Upper","318","3","2","30"
"06-12-25 / 01:12 AM","Upper","318","2","6","31"
"06-12-25 / 01:01 AM","Upper","315","1","2","31"
"06-12-25 / 12:44 AM","Lower Box","127","29","4","74"
"06-12-25 / 12:09 AM","Lower Box","132","36","2","71"
"06-11-25 / 11:53 PM","Upper","340","23","5","25"
"06-11-25 / 11:50 PM","Center Field Bleachers","192","2","0","29"
"06-11-25 / 11:46 PM","Lower Outfield","106","26","2","44"
"06-11-25 / 10:47 PM","Terrace Club","240","2","2","81"
"06-11-25 / 10:15 PM","Upper","326","24","2","29"
"06-11-25 / 10:04 PM","Field","112","2","0","68"
"06-11-25 / 09:57 PM","Upper","313","3","6","28"
"06-11-25 / 09:17 PM","Upper","313","3","4","28"
"06-11-25 / 09:08 PM","Upper","327","19","6","29"
"06-11-25 / 08:58 PM","Upper","321","15","2","29"
"06-11-25 / 08:56 PM","Lower Outfield","106","28","6","43"
"06-11-25 / 08:51 PM","Upper","315","3","2","30"
"06-11-25 / 08:41 PM","Left Field Bleachers","183","7","2","30"
"06-11-25 / 07:18 PM","Upper","313","25","9","25"
"06-11-25 / 07:08 PM","Lower Box","136","9","2","108"
"06-11-25 / 07:08 PM","Upper","335","4","2","38"
"06-11-25 / 01:47 PM","Upper","340","22","4","28"
"06-11-25 / 01:21 PM","Lower Box","127","37","3","73"
"06-11-25 / 01:21 PM","Lower Outfield","108","32","2","59"
"06-11-25 / 01:17 PM","Lower Box","125","11","2","107"
"06-11-25 / 12:58 PM","Upper","314","10","5","24"
"06-11-25 / 11:49 AM","Upper","335","18","0","32"
"06-11-25 / 11:45 AM","Lower Box","120","7","2","107"
"06-11-25 / 11:39 AM","Lower Outfield","106","26","2","44"
"06-11-25 / 11:24 AM","Upper","318","11","5","27"
"06-11-25 / 11:05 AM","Lower Box","140","8","0","81"
"06-11-25 / 11:00 AM","Left Field Bleachers","186","3","4","31"
"06-11-25 / 10:05 AM","Field","142","19","2","66"
"06-11-25 / 03:47 AM","Upper","330","13","2","33"
"06-11-25 / 03:20 AM","Field","110","39","2","44"
"06-11-25 / 02:38 AM","Field","114","1","0","101"
"06-11-25 / 02:13 AM","Left Field Bleachers","184","2","2","39"
"06-11-25 / 01:14 AM","Lower Box","126","33","2","79"
"06-11-25 / 12:49 AM","Upper","342","18","5","24"
"06-11-25 / 12:09 AM","Upper","335","11","4","32"
"06-10-25 / 11:44 PM","Center Field Bleachers","193","1","0","38"
"06-10-25 / 10:45 PM","Upper","344","12","5","24"
"06-10-25 / 09:24 PM","Upper","331","11","2","29"
"06-10-25 / 09:09 PM","Center Field Bleachers","192","2","0","30"
"06-10-25 / 08:55 PM","Left Field Bleachers","180","2","2","35"
"06-10-25 / 08:37 PM","Upper","345","2","5","31"
"06-10-25 / 07:32 PM","Field","111","32","2","49"
"06-10-25 / 06:48 PM","Upper","342","17","6","27"
"06-10-25 / 06:25 PM","Upper","346","19","4","26"
"06-10-25 / 06:10 PM","Terrace Club","237","4","2","100"
