"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"08-08-25 / 07:18 AM","Terrace","322","2","2","61"
"08-08-25 / 12:29 AM","Field Level","131","2","0","117"
"08-08-25 / 12:03 AM","Terrace","317","2","2","49"
"08-07-25 / 11:30 PM","Field Level","131","10","2","99"
"08-07-25 / 09:34 PM","Pavilion Deck","309","1","4","36"
"08-07-25 / 08:34 PM","Pavilion Deck","308","3","3","28"
"08-07-25 / 08:17 PM","Terrace","325","1","2","45"
"08-07-25 / 07:48 PM","Field Level Baseline","136","28","2","53"
"08-07-25 / 04:41 PM","Pavilion Deck","309","3","2","29"
"08-07-25 / 04:22 PM","Pavilion Deck","307","3","3","28"
"08-07-25 / 03:16 PM","Field Level Outfield","102","4","2","59"
"08-07-25 / 02:47 PM","Field Level Baseline","111","10","0","59"
"08-07-25 / 12:43 PM","Terrace Deck","433","2","2","31"
"08-07-25 / 10:18 AM","Terrace Deck","419","6","3","32"
"08-07-25 / 09:12 AM","Field Level Outfield","143","4","2","59"
"08-06-25 / 08:59 PM","Terrace","317","1","2","49"
"08-06-25 / 08:39 PM","Terrace Deck","421","4","2","31"
"08-06-25 / 08:22 PM","CP Rankin Club","B","10","2","188"
"08-06-25 / 07:03 PM","Terrace","323","2","2","49"
"08-06-25 / 06:56 PM","Field Level Outfield","143","19","2","54"
"08-06-25 / 05:52 PM","Field Level Baseline","137","2","2","68"
"08-06-25 / 04:25 PM","Field Level Baseline","134","13","2","60"
"08-06-25 / 03:40 PM","Field Level Baseline","135","8","2","65"
"08-06-25 / 03:05 PM","Field Level Baseline","135","9","2","72"
"08-05-25 / 11:29 PM","Field Level","117","12","2","105"
"08-05-25 / 11:23 PM","Field Level Baseline","112","1","2","135"
"08-05-25 / 11:18 PM","Hall of Fame Club","213","1","2","109"
"08-05-25 / 09:38 PM","CP Rankin Club","D","14","2","248"
"08-05-25 / 09:29 PM","Field Level Baseline","111","9","2","58"
"08-05-25 / 07:42 PM","Field Level","123","28","2","107"
"08-05-25 / 07:31 PM","Hall of Fame Club","218","6","2","109"
"08-05-25 / 05:56 PM","Field Level Baseline","109","7","3","61"
"08-05-25 / 04:31 PM","Terrace","317","2","0","35"
"08-05-25 / 03:12 PM","Field Level Baseline","136","8","0","53"
"08-05-25 / 12:45 PM","Pavilion Deck","310","1","2","38"
"08-05-25 / 12:14 PM","Field Level Baseline","133","12","2","71"
"08-05-25 / 12:04 PM","Hall of Fame Club","224","3","2","113"
"08-05-25 / 11:57 AM","Pavilion Deck","308","5","6","27"
"08-05-25 / 11:26 AM","Terrace Deck","431","3","2","26"
"08-05-25 / 10:58 AM","Pavilion","211","1","2","54"
"08-05-25 / 10:41 AM","Field Level Baseline","136","7","2","64"
"08-05-25 / 10:10 AM","Arcade","233","1","2","43"
"08-05-25 / 10:01 AM","Field Level","131","22","3","85"
"08-05-25 / 06:50 AM","Field Level Baseline","111","7","2","60"
"08-05-25 / 12:19 AM","Pavilion Deck","309","13","3","26"
"08-04-25 / 10:43 PM","Field Level Baseline","133","12","2","71"
"08-04-25 / 04:20 PM","Pavilion Deck","310","1","2","37"
"08-04-25 / 01:39 PM","Field Level Baseline","113","9","2","69"
"08-04-25 / 01:14 PM","Field Level Outfield","141","10","2","57"
"08-04-25 / 11:57 AM","Pavilion","203","1","2","51"
"08-04-25 / 11:39 AM","Field Level Baseline","113","13","3","63"
"08-04-25 / 10:57 AM","Arcade","233","1","5","43"
"08-04-25 / 10:32 AM","Field Level Baseline","134","13","1","58"
"08-04-25 / 08:24 AM","Field Level","116","5","2","126"
"08-03-25 / 10:37 PM","Pavilion","210","1","2","51"
"08-03-25 / 07:41 PM","Field Level Baseline","111","9","2","58"
"08-03-25 / 05:59 AM","Field Level Baseline","111","8","0","57"
"08-03-25 / 12:18 AM","Pavilion Deck","310","3","3","32"
"08-02-25 / 11:46 PM","Terrace Deck","427","1","5","48"
"08-02-25 / 09:14 PM","Pavilion","208","2","0","50"
"08-02-25 / 08:12 PM","Field Level","131","11","2","85"
"08-02-25 / 07:14 PM","Field Level Baseline","136","10","3","57"
"08-02-25 / 06:14 PM","Hall of Fame Club","215","8","0","99"
