"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"08-07-25 / 02:22 PM","Diamond Box","164","H","0","146"
"08-07-25 / 04:48 AM","Field Box Back","149","CC","2","93"
"08-06-25 / 10:18 AM","Lower Box Front","129","C","6","57"
"08-06-25 / 09:10 AM","Lower Reserved","111","C","0","39"
"08-06-25 / 06:19 AM","View Box","448","C","5","45"
"08-05-25 / 08:07 AM","Diamond Box","160","G","0","180"
"08-04-25 / 12:38 AM","Field Box Middle","155","T","0","72"
"08-03-25 / 12:47 PM","Lower Reserved","103","U","4","33"
"08-03-25 / 09:55 AM","Field Box Back","155","AA","2","89"
"08-02-25 / 11:25 AM","Lower Box Front","138","V","2","57"
"08-02-25 / 04:59 AM","Lower Reserved","113","B","0","32"
"07-31-25 / 11:29 AM","Lower Box Front","134","J","2","54"
"07-30-25 / 10:02 PM","Field Box Middle","164","Y","5","89"
"07-30-25 / 07:29 PM","Field Box Middle","155","T","0","72"
"07-29-25 / 01:23 PM","Diamond Box","158","H","0","143"
"07-29-25 / 09:46 AM","Field Box Front","159","S","2","87"
"07-28-25 / 12:35 PM","Upper Box","537","A","7","34"
"07-27-25 / 08:48 PM","Field Box Back","162","CC","2","92"
"07-27-25 / 05:23 PM","Lower Bleachers","185","G","2","26"
"07-27-25 / 03:23 PM","Upper Box","553","H","2","26"
"07-26-25 / 04:09 AM","Field Box Middle","156","U","2","76"
"07-24-25 / 01:15 PM","Field Box Back","162","AA","2","94"
"07-20-25 / 10:06 AM","Lower Box","172","H","2","48"
"07-19-25 / 10:27 PM","Diamond Box","162","J","0","147"
"07-18-25 / 01:56 PM","View Box","455","D","0","33"
"07-07-25 / 05:28 PM","View Box","446","A","2","39"
"07-04-25 / 03:10 PM","Upper Box","546","M","2","24"
"07-03-25 / 11:37 AM","Lower Bleachers","185","L","2","24"
"06-30-25 / 05:17 PM","Field Box Back","162","DD","2","89"
"06-28-25 / 11:21 AM","Diamond Box","140","J","4","118"
"06-25-25 / 11:12 AM","Diamond Box","160","K","0","139"
"06-25-25 / 02:17 AM","Field Box Back","149","AA","7","80"
"06-19-25 / 08:28 AM","Infield Club","344","L","0","117"
"06-18-25 / 03:57 PM","Field Box Middle","158","T","0","94"
"06-12-25 / 08:36 PM","Lower Box Front","130","B","0","41"
"06-11-25 / 01:49 PM","Lower Bleachers","183","D","0","18"
"06-08-25 / 08:28 AM","View Box","461","D","5","23"
"06-05-25 / 02:32 PM","Lower Box","170","Z","2","31"
"06-05-25 / 11:32 AM","View Box","462","E","4","21"
"06-03-25 / 05:23 PM","Field Box Front","152","Q","2","79"
"05-28-25 / 11:19 AM","View Box","440","C","6","21"
"05-22-25 / 06:19 PM","Lower Reserved","113","B","0","24"
"04-29-25 / 11:29 PM","Diamond Box","142","J","0","51"
"04-15-25 / 04:09 AM","The Corner Bar","The Corner Bar","A","0","24"
"04-11-25 / 08:16 AM","Lower Box","125","M","0","24"
"01-21-25 / 08:10 AM","Lower Bleachers","181","N","4","27.58"
"11-29-24 / 11:41 AM","Lower Box Front","131","B","2","165.49"
