"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"08-08-25 / 11:31 PM","Field Level Outfield","105","2","2","86"
"08-08-25 / 09:55 PM","Terrace","320","2","2","61"
"08-08-25 / 08:54 PM","Field Level Baseline","112","8","2","91"
"08-08-25 / 06:20 PM","Terrace","325","2","2","83"
"08-08-25 / 05:27 PM","Hall of Fame Club","224","3","2","113"
"08-08-25 / 04:53 PM","Pavilion","201","1","2","75"
"08-08-25 / 04:24 PM","Hall of Fame Club","218","6","0","99"
"08-08-25 / 03:39 PM","CP Rankin Club","C","15","2","238"
"08-08-25 / 02:48 PM","Field Level Baseline","112","7","4","93"
"08-08-25 / 02:40 PM","Field Level Baseline","133","9","2","100"
"08-08-25 / 02:30 PM","Field Level Outfield","142","1","0","81"
"08-08-25 / 01:12 PM","Terrace","331","1","2","67"
"08-08-25 / 11:48 AM","Field Level Baseline","113","17","0","80"
"08-08-25 / 09:08 AM","Field Level","125","29","2","115"
"08-08-25 / 08:49 AM","Field Level Outfield","104","15","2","59"
"08-08-25 / 03:20 AM","Field Level Baseline","114","21","2","89"
"08-07-25 / 11:44 PM","Terrace Deck","422","2","2","49"
"08-07-25 / 11:41 PM","Terrace Deck","423","4","0","44"
"08-07-25 / 07:42 PM","Field Level Baseline","109","7","2","86"
"08-07-25 / 04:19 PM","Field Level","116","10","1","79"
"08-07-25 / 04:15 PM","Field Level Outfield","104","4","0","130"
"08-07-25 / 01:45 PM","Terrace","323","3","0","54"
"08-07-25 / 01:16 PM","Field Level Baseline","135","29","2","80"
"08-07-25 / 12:45 PM","Terrace Deck","430","16","0","36"
"08-07-25 / 12:11 PM","Field Level Baseline","139","30","0","68"
"08-07-25 / 10:37 AM","Terrace","318","1","1","107"
"08-07-25 / 10:19 AM","Terrace Deck","430","2","2","60"
"08-06-25 / 10:12 PM","Field Level Baseline","133","12","2","78"
"08-06-25 / 09:42 PM","Field Level Baseline","111","8","2","86"
"08-06-25 / 09:39 PM","Terrace","323","4","0","45"
"08-06-25 / 07:47 PM","Field Level Outfield","105","3","2","79"
"08-06-25 / 07:24 PM","Field Level","115","22","3","114"
"08-06-25 / 05:56 PM","Field Level","117","12","2","105"
"08-06-25 / 05:33 PM","Field Level Baseline","134","10","2","81"
"08-06-25 / 05:05 PM","Field Level","123","27","1","99"
"08-06-25 / 04:25 PM","Field Level Baseline","110","11","2","69"
"08-06-25 / 04:25 PM","Field Level Baseline","135","25","0","68"
"08-06-25 / 03:25 PM","Field Level Outfield","106","3","0","77"
"08-06-25 / 01:51 PM","Field Level Baseline","112","32","0","73"
"08-06-25 / 12:21 PM","Terrace Deck","422","3","2","39"
"08-05-25 / 10:43 PM","Field Level Baseline","134","14","6","71"
"08-05-25 / 09:14 PM","Field Level Outfield","104","3","2","101"
"08-05-25 / 08:54 PM","Terrace Deck","432","1","2","46"
"08-05-25 / 08:54 PM","Terrace Deck","427","1","2","56"
"08-05-25 / 08:29 PM","Field Level Baseline","135","17","2","67"
"08-05-25 / 07:42 PM","Field Level Outfield","143","5","2","70"
"08-05-25 / 07:03 PM","Hall of Fame Club","215","2","0","113"
"08-05-25 / 05:32 PM","Field Level","129","10","2","111"
"08-05-25 / 05:21 PM","Field Level","117","9","0","122"
"08-05-25 / 04:52 PM","Field Level","115","10","2","105"
"08-05-25 / 03:47 PM","Field Level Baseline","133","7","0","73"
"08-05-25 / 02:20 PM","Field Level Baseline","112","1","2","135"
"08-05-25 / 01:15 PM","Field Level","128","29","2","90"
"08-05-25 / 09:54 AM","Field Level","115","21","2","88"
"08-05-25 / 09:54 AM","Field Level Baseline","133","13","0","80"
"08-05-25 / 09:15 AM","Field Level","118","4","0","149"
"08-05-25 / 09:15 AM","Hall of Fame Club","229","4","0","108"
"08-05-25 / 01:15 AM","Field Level Baseline","113","12","2","81"
"08-04-25 / 09:49 PM","Terrace","323","1","2","68"
"08-04-25 / 09:46 PM","Terrace","332","1","2","51"
"08-04-25 / 09:24 PM","Terrace","333","5","2","38"
"08-04-25 / 09:22 PM","Field Level","117","4","2","176"
"08-04-25 / 09:19 PM","Field Level","117","1","0","343"
"08-04-25 / 08:50 PM","Field Level Baseline","133","1","0","299"
"08-04-25 / 07:37 PM","Field Level","132","6","4","152"
"08-04-25 / 06:26 PM","Pavilion Deck","310","2","2","52"
"08-04-25 / 05:48 PM","Field Level Outfield","103","1","2","100"
"08-04-25 / 05:47 PM","Pavilion Deck","303","1","2","53"
"08-04-25 / 05:32 PM","Field Level","131","2","0","117"
"08-04-25 / 04:33 PM","Hall of Fame Club","216","6","2","122"
"08-04-25 / 03:48 PM","Field Level","120","23","2","112"
"08-04-25 / 03:39 PM","Terrace","319","2","2","56"
"08-04-25 / 02:14 PM","Field Level","124","27","0","143"
"08-04-25 / 01:14 PM","Pavilion Deck","302","2","2","51"
"08-04-25 / 12:15 PM","Hall of Fame Club","229","2","0","94"
"08-04-25 / 10:15 AM","Field Level Baseline","109","8","2","73"
"08-04-25 / 10:11 AM","Arcade","236","1","2","55"
"08-04-25 / 09:33 AM","Field Level Baseline","110","13","2","62"
"08-03-25 / 10:48 PM","Field Level","125","28","2","93"
"08-03-25 / 10:42 PM","Pavilion","201","1","2","50"
"08-03-25 / 09:53 PM","Field Level Baseline","112","10","2","90"
"08-03-25 / 09:13 PM","Terrace","316","1","0","64"
"08-03-25 / 08:46 PM","Field Level","125","27","2","114"
"08-03-25 / 08:46 PM","Field Level","131","4","2","122"
"08-03-25 / 08:29 PM","Terrace","333","5","2","38"
"08-03-25 / 07:40 PM","Field Level Baseline","114","12","2","81"
"08-03-25 / 01:19 PM","Field Level Baseline","136","8","0","53"
"08-03-25 / 12:40 PM","Field Level Baseline","112","2","0","90"
"08-03-25 / 11:41 AM","Pavilion Deck","308","2","2","42"
"08-03-25 / 11:19 AM","Field Level Baseline","136","10","2","66"
