"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"07-01-25 / 01:14 AM","Field","142","22","2","25"
"07-01-25 / 01:07 AM","Field","142","40","4","23"
"07-01-25 / 12:53 AM","Lower Box","126","29","2","46"
"07-01-25 / 12:38 AM","Lower Box","125","12","2","52"
"07-01-25 / 12:30 AM","Left Field Bleachers","182","2","2","17"
"07-01-25 / 12:30 AM","Field","146","13","2","24"
"06-30-25 / 11:48 PM","Lower Outfield","108","27","4","22"
"06-30-25 / 11:26 PM","Lower Box","124","12","0","54"
"06-30-25 / 11:24 PM","Lower Box","123","11","2","93"
"06-30-25 / 11:21 PM","Field","144","40","6","21"
"06-30-25 / 10:50 PM","Field","143","20","2","23"
"06-30-25 / 10:45 PM","Field","143","1","2","18"
"06-30-25 / 10:41 PM","Lower Outfield","105","27","0","14"
"06-30-25 / 10:32 PM","Field","117","22","2","30"
"06-30-25 / 10:30 PM","Upper","337","11","4","15"
"06-30-25 / 09:48 PM","Upper","327","1","2","23"
"06-30-25 / 08:51 PM","Field","143","19","6","33"
"06-30-25 / 08:49 PM","Field","143","21","2","23"
"06-30-25 / 08:48 PM","Field","142","21","2","25"
"06-30-25 / 08:46 PM","Field","142","22","2","25"
"06-30-25 / 08:22 PM","Lower Outfield","109","27","5","21"
"06-30-25 / 08:18 PM","Field","147","11","2","25"
"06-30-25 / 07:42 PM","Terrace Club","244","2","2","33"
"06-30-25 / 07:19 PM","Lower Box","137","31","4","38"
"06-30-25 / 07:10 PM","Lower Box","137","11","2","51"
"06-30-25 / 07:10 PM","Field","146","8","4","36"
"06-30-25 / 06:21 PM","Upper","307","2","2","13"
"06-30-25 / 06:21 PM","Upper","340","10","5","14"
"06-30-25 / 05:05 PM","Lower Box","139","20","2","38"
"06-30-25 / 05:04 PM","Terrace Club","212","1","2","34"
"06-30-25 / 04:23 PM","Upper","323","9","0","17"
"06-30-25 / 03:42 PM","Lower Box","125","10","2","59"
"06-30-25 / 03:19 PM","Lower Outfield","108","24","2","18"
"06-30-25 / 02:00 PM","Upper","333","11","5","14"
"06-30-25 / 01:36 PM","Field","117","7","2","44"
"06-30-25 / 01:27 PM","Lower Box","128","35","5","39"
"06-30-25 / 01:08 PM","Lower Outfield","106","23","0","26"
"06-30-25 / 12:57 PM","Field","142","40","2","23"
"06-30-25 / 11:53 AM","Lower Box","139","10","2","44"
"06-30-25 / 11:11 AM","Lower Box","139","14","2","45"
"06-30-25 / 11:06 AM","Upper","344","12","0","18"
"06-30-25 / 09:06 AM","Terrace Club","213","1","2","33"
"06-30-25 / 05:36 AM","Lower Outfield","108","23","0","45"
"06-30-25 / 03:50 AM","Upper","327","10","0","13"
"06-30-25 / 02:30 AM","Press Club","PL6","4","2","273"
"06-30-25 / 02:13 AM","Upper","325","8","2","19"
"06-30-25 / 02:03 AM","Left Field Bleachers","181","1","0","14"
"06-30-25 / 01:49 AM","Field","116","1","2","56"
"06-30-25 / 01:20 AM","Field","146","2","2","38"
"06-30-25 / 01:14 AM","Lower Outfield","105","27","0","15"
"06-30-25 / 12:35 AM","Lower Box","138","11","2","51"
"06-30-25 / 12:23 AM","Upper","320","11","4","14"
"06-29-25 / 10:53 PM","Lower Outfield","105","31","2","19"
