"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"07-23-25 / 01:08 AM","View MVP","525","B","2","6"
"07-23-25 / 12:48 AM","Terrace MVP","213","A","0","56"
"07-23-25 / 12:37 AM","Left Field Pavilion","260","X","2","11"
"07-22-25 / 10:27 PM","Club MVP","333","B","4","33"
"07-22-25 / 10:02 PM","Club All-Star","313","B","2","22"
"07-22-25 / 09:46 PM","Right Field Hall of Fame","238","B","2","11"
"07-22-25 / 09:37 PM","Lower View All-Star Front Row","427","A","0","13"
"07-22-25 / 07:53 PM","Field MVP","113","K","2","65"
"07-22-25 / 07:53 PM","Right Field MVP","237","G","2","8"
"07-22-25 / 07:27 PM","Terrace MVP","211","J","16","35"
"07-22-25 / 07:03 PM","Right Field MVP","240","YY","2","11"
"07-22-25 / 05:23 PM","Club All-Star Front Row","340","A","2","33"
"07-22-25 / 04:56 PM","Field All-Star Front Row","128","A","0","65"
"07-22-25 / 03:53 PM","Lexus Diamond Club","114","T","2","104"
"07-22-25 / 03:23 PM","Field All-Star","106","B","0","30"
"07-22-25 / 02:39 PM","View All-Star","529","C","2","6"
"07-22-25 / 02:29 PM","Left Field Pavilion","258","G","2","12"
"07-22-25 / 12:49 PM","Terrace All-Star","208","H","2","19"
"07-22-25 / 02:45 AM","Right Field Hall of Fame","239","F","4","13"
"07-22-25 / 02:24 AM","Field Box","104","F","2","17"
"07-22-25 / 01:17 AM","Field Box","105","M","5","16"
"07-22-25 / 12:57 AM","Lower View MVP","422","B","2","13"
"07-22-25 / 12:47 AM","Field Hall of Fame","111","G","1","81"
"07-22-25 / 12:24 AM","Field Box Front Row","103","A","4","47"
"07-22-25 / 12:01 AM","Left Field Pavilion","257","B","2","13"
"07-21-25 / 11:07 PM","Field All-Star","128","D","2","28"
"07-21-25 / 11:06 PM","View MVP","517","B","2","7"
"07-21-25 / 10:22 PM","Lower View MVP","420","D","2","15"
"07-21-25 / 10:06 PM","Right Field Hall of Fame","238","E","2","10"
"07-21-25 / 09:52 PM","Field All-Star","106","C","4","30"
"07-21-25 / 09:42 PM","Upper View","535","A","2","5"
"07-21-25 / 09:36 PM","Field MVP","127","X","2","35"
"07-21-25 / 08:19 PM","Club MVP Front Row","317","A","2","35"
"07-21-25 / 08:19 PM","Field MVP","125","L","2","50"
"07-21-25 / 07:49 PM","Club Loge Front Row","305","A","3","10"
"07-21-25 / 07:49 PM","Lower View All-Star Front Row","428","A","2","11"
"07-21-25 / 07:47 PM","Field Hall of Fame","126","F","4","54"
"07-21-25 / 07:16 PM","Field MVP","109","Z","2","35"
"07-21-25 / 11:20 AM","Field Box","131","N","2","12"
"07-21-25 / 02:54 AM","Terrace All-Star","207","B","21","20"
"07-21-25 / 01:20 AM","Right Field Hall of Fame","238","F","2","9"
"07-21-25 / 12:54 AM","Terrace MVP","222","J","2","32"
"07-21-25 / 12:48 AM","Field Box","131","J","2","13"
"07-21-25 / 12:42 AM","Terrace MVP","213","K","2","34"
"07-20-25 / 11:48 PM","Field Box","131","F","2","11"
"07-20-25 / 11:41 PM","Right Field MVP","236","J","2","8"
"07-20-25 / 10:41 PM","Lower View Box Front Row","435","A","2","6"
"07-20-25 / 09:36 PM","Lower View MVP Front Row","415","A","2","12"
"07-20-25 / 08:36 PM","Club MVP","316","E","2","25"
"07-20-25 / 06:08 PM","Left Field Pavilion","258","H","4","11"
"07-20-25 / 03:08 PM","Right Field Hall of Fame","238","E","2","11"
"07-20-25 / 02:39 AM","Field Hall of Fame","125","G","2","54"
"07-20-25 / 02:02 AM","Field MVP","109","G","4","46"
"07-20-25 / 12:32 AM","Field All-Star","108","G","6","34"
"07-19-25 / 10:03 PM","Terrace All-Star","226","C","2","18"
"07-19-25 / 09:53 PM","Terrace MVP","211","B","2","36"
"07-19-25 / 09:26 PM","Field MVP","110","N","12","48"
"07-19-25 / 09:03 PM","Club All-Star Front Row","340","A","2","18"
"07-19-25 / 08:22 PM","Club MVP","322","G","2","37"
"07-19-25 / 07:47 PM","Club MVP","316","C","5","34"
"07-19-25 / 07:21 PM","Field Hall of Fame","110","H","2","50"
"07-19-25 / 06:28 PM","Field Box","105","E","2","33"
"07-19-25 / 06:01 PM","Field Hall of Fame","124","E","2","81"
"07-19-25 / 02:44 PM","Field All-Star","129","C","6","30"
"07-19-25 / 02:15 PM","Club MVP","331","B","4","36"
"07-19-25 / 11:46 AM","Left Field Pavilion","259","K","2","9"
"07-19-25 / 11:45 AM","Right Field Pavilion","247","D","11","6"
"07-19-25 / 04:46 AM","Right Field Front Row","238","A","2","24"
"07-19-25 / 12:46 AM","Terrace MVP","211","F","5","34"
"07-18-25 / 10:46 PM","Club MVP","317","B","5","39"
"07-18-25 / 09:35 PM","Right Field MVP","237","G","2","9"
"07-18-25 / 09:19 PM","Left Field Pavilion","259","Z","9","9"
"07-18-25 / 07:59 PM","Lower View MVP","414","C","2","14"
"07-18-25 / 03:29 PM","Field All-Star","107","Z","2","28"
"07-18-25 / 02:58 PM","View All-Star","512","B","3","7"
"07-18-25 / 01:42 PM","Field Hall of Fame","126","E","3","60"
"07-18-25 / 01:42 PM","Field MVP","111","Z","2","48"
"07-18-25 / 04:49 AM","Lexus Diamond Club","114","WC","0","68"
"07-18-25 / 03:43 AM","Field Box","105","N","2","12"
"07-17-25 / 10:43 PM","Field Box","105","L","4","15"
"07-17-25 / 10:29 PM","Lower View MVP Front Row","415","A","2","15"
"07-17-25 / 06:49 PM","Field Hall of Fame","124","F","2","56"
"07-17-25 / 04:29 PM","Field MVP","123","K","1","52"
"07-17-25 / 04:15 PM","Field All-Star","130","B","4","33"
"07-17-25 / 04:15 PM","Terrace MVP","211","B","2","36"
"07-17-25 / 06:35 AM","Field MVP","112","R","4","54"
"07-17-25 / 02:05 AM","Field All-Star Front Row","130","A","2","42"
"07-16-25 / 10:45 PM","Field Box","132","B","2","17"
"07-16-25 / 10:16 PM","Lower View MVP","421","B","2","18"
"07-16-25 / 07:45 PM","Brewery X","351","BB","2","20"
"07-16-25 / 03:21 PM","Terrace All-Star","226","A","6","26"
"07-16-25 / 01:55 PM","Field MVP","113","W","3","54"
"07-16-25 / 01:35 PM","Terrace MVP","223","K","3","34"
"07-16-25 / 01:34 PM","Field Hall of Fame","125","D","2","87"
"07-16-25 / 12:55 PM","Field MVP","109","E","4","50"
"07-16-25 / 10:52 AM","Field All-Star","108","K","2","31"
"07-16-25 / 02:10 AM","Left Field Pavilion","259","G","2","13"
"07-16-25 / 01:07 AM","Field All-Star","108","F","2","39"
