"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"07-26-25 / 05:45 PM","Field Box","120","27","2","19"
"07-26-25 / 03:41 PM","Infield Box","108","6","2","47"
"07-26-25 / 02:19 PM","Outfield Box","122","22","4","17"
"07-26-25 / 12:51 PM","Solon Club","204","2","2","100"
"07-26-25 / 12:17 PM","Field Box","121","21","2","18"
"07-26-25 / 12:01 PM","Dugout Box","107","9","2","50"
"07-26-25 / 11:31 AM","Infield Box","116","19","2","26"
"07-25-25 / 11:10 PM","Dugout Box","105","9","5","40"
"07-25-25 / 09:10 PM","Solon Club","203","5","2","70"
"07-25-25 / 08:21 PM","Solon Club","203","1","0","135"
"07-25-25 / 07:51 PM","Infield Box","116","21","2","23"
"07-25-25 / 07:11 PM","Dugout Box","107","8","2","52"
"07-25-25 / 03:44 PM","Infield Box","114","29","2","26"
"07-25-25 / 03:17 PM","Homeplate Box","113","20","2","37"
"07-25-25 / 01:15 PM","Infield Box","115","1","2","115"
"07-25-25 / 12:15 PM","Dugout Box","119","28","4","20"
"07-25-25 / 11:17 AM","Dugout Box","105","7","2","45"
"07-24-25 / 11:41 PM","Dugout Box","119","10","6","35"
"07-24-25 / 09:28 PM","Dugout Box","118","24","4","25"
"07-24-25 / 07:55 PM","Homeplate Box","113","13","0","37"
"07-24-25 / 04:18 PM","Homeplate Box","113","6","2","41"
"07-24-25 / 02:59 PM","Infield Box","108","18","3","26"
"07-24-25 / 01:18 PM","Homeplate Box","111","14","2","47"
"07-24-25 / 12:59 PM","Field Box","104","11","2","28"
"07-24-25 / 12:51 AM","Field Box","120","27","0","18"
"07-24-25 / 12:29 AM","Dugout Box","119","26","2","20"
"07-24-25 / 12:22 AM","Infield Box","108","22","4","23"
"07-23-25 / 08:31 PM","Field Box","120","27","5","19"
"07-23-25 / 08:30 PM","Field Box","121","29","5","17"
"07-23-25 / 03:54 PM","Field Box","104","1","2","45"
"07-23-25 / 03:41 PM","Dugout Box","106","27","3","23"
"07-23-25 / 02:17 PM","Dugout Box","107","29","9","25"
"07-23-25 / 01:43 PM","Field Box","120","14","4","28"
"07-22-25 / 11:44 PM","Dugout Box","107","5","0","45"
"07-22-25 / 10:25 PM","Infield Box","109","18","3","28"
"07-22-25 / 08:50 PM","Outfield Box","122","5","5","31"
"07-22-25 / 12:54 PM","Dugout Box","105","29","3","20"
"07-22-25 / 01:33 AM","Field Box","104","27","2","19"
"07-22-25 / 01:33 AM","Outfield Box","122","20","4","19"
"07-21-25 / 08:57 PM","Infield Box","116","25","2","23"
"07-21-25 / 07:57 PM","Infield Box","116","26","2","21"
"07-20-25 / 11:24 PM","Field Box","104","2","2","43"
"07-20-25 / 09:18 PM","Dugout Box","106","23","0","18"
"07-20-25 / 09:18 PM","Outfield Box","122","26","4","18"
"07-20-25 / 08:19 PM","Infield Box","110","24","1","132"
