"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"07-03-25 / 06:49 PM","Lower Box","140","4","0","104"
"07-03-25 / 04:49 PM","Upper","327","1","0","36"
"07-03-25 / 02:59 PM","Lower Box","119","40","2","69"
"07-03-25 / 02:59 PM","Upper","310","24","0","57"
"07-03-25 / 02:52 PM","Lower Box","120","12","0","45"
"07-03-25 / 02:31 PM","Field","114","38","2","46"
"07-03-25 / 11:31 AM","Left Field Bleachers","181","1","0","34"
"07-03-25 / 10:31 AM","Upper","330","25","2","29"
"07-03-25 / 08:24 AM","Field","114","9","6","66"
"07-03-25 / 04:41 AM","Terrace Club","212","3","2","59"
"07-03-25 / 02:09 AM","Lower Outfield","108","27","5","58"
"07-03-25 / 01:48 AM","Upper","316","9","2","28"
"07-03-25 / 01:24 AM","Upper","316","9","4","28"
"07-03-25 / 01:24 AM","Upper","318","11","2","28"
"07-03-25 / 12:39 AM","Lower Box","135","31","2","74"
"07-03-25 / 12:26 AM","All Star","13","1","0","180"
"07-02-25 / 11:37 PM","Lower Outfield","106","23","0","54"
"07-02-25 / 11:34 PM","Lower Box","127","15","0","86"
"07-02-25 / 11:07 PM","Left Field Bleachers","181","2","2","34"
"07-02-25 / 11:07 PM","Lower Box","133","32","2","77"
"07-02-25 / 10:59 PM","Central Outfield","J-Rod 102","","0","70"
"07-02-25 / 10:34 PM","Upper","344","8","5","29"
"07-02-25 / 10:19 PM","Center Field Bleachers","190","16","2","31"
"07-02-25 / 10:12 PM","Terrace Club","234","3","2","80"
"07-02-25 / 09:59 PM","Upper","333","13","2","29"
"07-02-25 / 09:07 PM","Upper","316","25","2","26"
"07-02-25 / 08:12 PM","Terrace Club","242","1","2","88"
"07-02-25 / 07:39 PM","Lower Box","124","16","0","86"
"07-02-25 / 07:25 PM","Upper","330","25","4","35"
"07-02-25 / 07:11 PM","Upper","334","12","4","31"
"07-02-25 / 06:01 PM","Field","114","1","0","90"
"07-02-25 / 05:37 PM","Terrace Club","241","1","0","71"
"07-02-25 / 05:22 PM","Lower Box","119","40","4","67"
"07-02-25 / 04:25 PM","Upper","318","1","2","35"
"07-02-25 / 04:22 PM","Lower Box","139","10","0","71"
"07-02-25 / 04:11 PM","Lower Box","133","36","0","135"
"07-02-25 / 12:50 PM","Left Field Bleachers","186","1","2","38"
"07-02-25 / 12:09 PM","Lower Box","125","9","2","135"
"07-02-25 / 11:55 AM","Lower Box","129","22","2","129"
"07-02-25 / 01:02 AM","Field","111","22","2","45"
"07-02-25 / 12:47 AM","Lower Box","125","11","0","72"
"07-02-25 / 12:45 AM","Left Field Bleachers","183","3","2","41"
"07-02-25 / 12:30 AM","Lower Outfield","108","24","0","50"
"07-02-25 / 12:12 AM","Center Field Bleachers","194","5","0","28"
"07-01-25 / 11:51 PM","Upper","327","25","6","28"
"07-01-25 / 11:46 PM","All Star","14","2","0","151"
"07-01-25 / 11:19 PM","Field","142","6","2","73"
"07-01-25 / 10:55 PM","Upper","327","25","7","28"
"07-01-25 / 10:41 PM","Lower Box","124","36","0","117"
"07-01-25 / 10:36 PM","Field","114","40","4","43"
"07-01-25 / 10:30 PM","Field","147","39","2","40"
"07-01-25 / 10:17 PM","Field","143","19","5","63"
"07-01-25 / 09:34 PM","Upper","327","1","0","38"
"07-01-25 / 06:10 PM","Field","148","8","4","63"
"07-01-25 / 06:00 PM","Field","146","3","2","64"
"07-01-25 / 04:52 PM","Lower Box","137","12","0","68"
"07-01-25 / 03:32 PM","Left Field Bleachers","187","12","5","35"
"07-01-25 / 03:15 PM","Upper","337","10","2","28"
"07-01-25 / 02:05 PM","Upper","339","10","3","27"
"07-01-25 / 01:43 PM","Upper","307","2","2","30"
"07-01-25 / 01:25 PM","Lower Box","129","12","0","113"
"07-01-25 / 01:06 PM","Center Field Bleachers","194","5","0","30"
"07-01-25 / 12:51 PM","Field","143","21","2","52"
"07-01-25 / 12:51 PM","Lower Box","119","8","2","81"
"07-01-25 / 05:10 AM","Left Field Bleachers","187","1","2","33"
"07-01-25 / 01:24 AM","Upper","315","25","2","28"
"06-30-25 / 11:28 PM","Diamond Club","35","4","0","608"
"06-30-25 / 11:21 PM","Upper","316","25","5","29"
"06-30-25 / 11:07 PM","Left Field Bleachers","187","1","2","33"
"06-30-25 / 09:36 PM","Left Field Bleachers","186","2","2","32"
"06-30-25 / 09:14 PM","Upper","330","11","2","31"
"06-30-25 / 07:46 PM","Lower Box","132","40","2","72"
"06-30-25 / 06:36 PM","Field","142","22","2","53"
"06-30-25 / 05:30 PM","Lower Box","125","31","2","66"
"06-30-25 / 04:24 PM","Lower Outfield","108","23","0","68"
"06-30-25 / 03:10 PM","Upper","318","1","2","38"
"06-30-25 / 02:10 PM","Upper","344","11","2","26"
"06-30-25 / 02:05 PM","Field","143","19","2","65"
"06-30-25 / 01:30 PM","Field","143","18","2","65"
"06-30-25 / 01:05 PM","Terrace Club","234","2","0","81"
"06-30-25 / 03:37 AM","Lower Box","126","25","5","76"
"06-30-25 / 02:53 AM","Field","118","40","6","63"
"06-30-25 / 02:44 AM","Lower Box","128","29","2","59"
"06-30-25 / 12:09 AM","Lower Box","122","7","0","135"
"06-29-25 / 11:22 PM","Terrace Club","214","3","0","41"
"06-29-25 / 11:05 PM","Upper","340","13","2","26"
"06-29-25 / 10:41 PM","Upper","327","10","2","30"
"06-29-25 / 10:11 PM","Lower Box","119","40","6","73"
"06-29-25 / 09:27 PM","Lower Box","137","31","6","75"
"06-29-25 / 08:50 PM","Upper","339","2","4","38"
"06-29-25 / 08:34 PM","Field","117","1","0","86"
"06-29-25 / 08:01 PM","Field","147","39","2","39"
"06-29-25 / 07:51 PM","Diamond Club","25","4","0","720"
"06-29-25 / 07:25 PM","Field","115","15","2","51"
"06-29-25 / 07:08 PM","Lower Box","133","34","5","70"
"06-29-25 / 05:57 PM","Upper","337","4","2","37"
"06-29-25 / 04:57 PM","Lower Box","120","7","0","110"
"06-29-25 / 01:26 PM","Field","147","40","2","39"
"06-29-25 / 01:26 PM","Lower Box","122","24","6","78"
"06-29-25 / 01:25 AM","Lower Box","119","13","2","76"
"06-28-25 / 11:07 PM","Lower Box","119","40","6","65"
"06-28-25 / 11:06 PM","Lower Box","137","33","2","67"
"06-28-25 / 08:41 PM","Lower Box","126","40","6","68"
"06-28-25 / 08:16 PM","Upper","333","6","5","37"
"06-28-25 / 08:14 PM","Terrace Club","237","1","2","125"
"06-28-25 / 07:38 PM","Terrace Club","219","2","2","74"
"06-28-25 / 07:01 PM","Lower Box","127","24","2","79"
"06-28-25 / 05:31 PM","Lower Box","140","8","2","72"
"06-28-25 / 04:14 PM","Field","117","24","2","52"
"06-28-25 / 03:10 PM","Upper","331","25","4","28"
"06-28-25 / 03:09 PM","Upper","341","25","7","35"
"06-28-25 / 01:09 PM","Field","110","38","6","39"
"06-28-25 / 01:09 PM","Field","114","40","2","47"
"06-28-25 / 01:27 AM","Upper","328","11","2","27"
"06-28-25 / 01:04 AM","Upper","325","6","2","38"
"06-27-25 / 11:33 PM","Upper","344","9","2","28"
"06-27-25 / 10:50 PM","Lower Box","121","40","2","72"
"06-27-25 / 10:27 PM","Upper","330","25","6","25"
"06-27-25 / 10:07 PM","Field","143","40","2","59"
"06-27-25 / 08:41 PM","Upper","325","1","2","46"
"06-27-25 / 08:30 PM","Upper","321","1","0","45"
"06-27-25 / 05:22 PM","Center Field Bleachers","191","4","0","31"
"06-27-25 / 02:32 PM","Lower Box","123","8","0","126"
"06-27-25 / 01:28 PM","Lower Box","132","14","0","88"
"06-27-25 / 12:13 PM","Field","118","4","2","70"
"06-27-25 / 10:18 AM","Terrace Club","233","4","0","81"
"06-27-25 / 03:34 AM","Field","142","39","2","62"
"06-27-25 / 03:27 AM","Lower Box","120","7","0","84"
"06-26-25 / 11:32 PM","Lower Box","123","11","0","104"
"06-26-25 / 10:35 PM","Field","114","13","2","50"
"06-26-25 / 10:01 PM","Diamond Club","27","3","2","585"
"06-26-25 / 08:28 PM","Upper","339","15","2","25"
"06-26-25 / 07:47 PM","Upper","339","15","2","25"
"06-26-25 / 01:51 PM","Lower Outfield","105","27","0","43"
"06-26-25 / 11:59 AM","Field","143","18","5","63"
"06-26-25 / 03:40 AM","Upper","318","25","2","29"
"06-26-25 / 01:10 AM","Diamond Club","25","8","0","446"
"06-26-25 / 12:40 AM","Center Field Bleachers","195","16","2","29"
"06-26-25 / 12:10 AM","Lower Box","119","32","4","67"
"06-25-25 / 11:42 PM","Terrace Club","241","1","0","74"
"06-25-25 / 10:32 PM","Upper","318","25","6","29"
"06-25-25 / 10:00 PM","Field","147","39","7","42"
"06-25-25 / 08:48 PM","Field","147","39","4","42"
"06-25-25 / 08:39 PM","Center Field Bleachers","195","1","5","39"
"06-25-25 / 05:39 PM","Left Field Bleachers","186","12","2","33"
"06-25-25 / 12:39 PM","Terrace Club","238","1","0","108"
