"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"07-01-25 / 12:34 AM","Left Field Bleachers","181","1","0","36"
"07-01-25 / 12:14 AM","Terrace Club","219","2","2","66"
"07-01-25 / 12:04 AM","Field","144","3","2","62"
"06-30-25 / 11:00 PM","Upper","337","25","4","26"
"06-30-25 / 09:47 PM","Upper","323","3","0","72"
"06-30-25 / 09:13 PM","Lower Box","135","24","2","70"
"06-30-25 / 08:43 PM","Upper","320","2","2","37"
"06-30-25 / 08:22 PM","Left Field Bleachers","186","3","2","31"
"06-30-25 / 06:54 PM","Upper","330","15","2","34"
"06-30-25 / 06:53 PM","Terrace Club","241","12","2","66"
"06-30-25 / 04:58 PM","Terrace Club","236","1","0","72"
"06-30-25 / 04:37 PM","Terrace Club","236","2","0","54"
"06-30-25 / 04:10 PM","Upper","323","11","2","30"
"06-30-25 / 03:35 PM","Field","143","16","2","57"
"06-30-25 / 03:19 PM","Upper","320","25","2","27"
"06-30-25 / 01:37 PM","Field","110","29","2","37"
"06-30-25 / 01:05 PM","Field","144","38","4","53"
"06-30-25 / 12:56 PM","Left Field Bleachers","183","1","2","32"
"06-30-25 / 12:13 PM","Lower Box","129","10","0","117"
"06-30-25 / 10:08 AM","Terrace Club","216","10","2","40"
"06-30-25 / 09:19 AM","Upper","315","1","2","30"
"06-30-25 / 12:47 AM","Lower Box","131","32","4","68"
"06-29-25 / 11:27 PM","Lower Box","135","32","0","51"
"06-29-25 / 11:16 PM","Lower Box","140","8","2","68"
"06-29-25 / 11:14 PM","Upper","333","13","2","30"
"06-29-25 / 09:50 PM","Lower Box","141","5","5","83"
"06-29-25 / 09:47 PM","Lower Outfield","105","27","2","39"
"06-29-25 / 09:08 PM","Field","146","2","2","64"
"06-29-25 / 09:04 PM","Lower Box","123","40","2","67"
"06-29-25 / 08:58 PM","Field","114","40","6","41"
"06-29-25 / 06:47 PM","Upper","316","11","4","24"
"06-29-25 / 04:47 PM","Field","142","1","2","108"
"06-29-25 / 04:02 PM","Upper","330","25","4","32"
"06-29-25 / 02:26 PM","Field","118","26","2","49"
"06-29-25 / 01:59 PM","Lower Box","123","40","4","67"
"06-29-25 / 02:52 AM","Lower Box","135","32","0","61"
"06-29-25 / 02:23 AM","Lower Outfield","108","40","6","40"
"06-29-25 / 01:35 AM","Upper","331","8","2","35"
"06-29-25 / 12:16 AM","Lower Box","126","31","0","52"
"06-28-25 / 10:59 PM","Lower Box","121","8","0","108"
"06-28-25 / 10:28 PM","Center Field Bleachers","194","4","0","26"
"06-28-25 / 09:41 PM","Upper","332","10","2","27"
"06-28-25 / 05:09 PM","Lower Outfield","109","27","2","41"
"06-28-25 / 05:04 PM","Lower Outfield","107","23","2","68"
"06-28-25 / 04:09 PM","Lower Outfield","107","26","6","41"
"06-28-25 / 03:27 PM","Upper","330","15","2","32"
"06-28-25 / 03:14 PM","Left Field Bleachers","183","4","2","27"
"06-28-25 / 03:11 PM","Upper","333","13","4","25"
"06-28-25 / 02:31 PM","Field","142","29","5","47"
"06-28-25 / 12:47 PM","Lower Outfield","106","26","2","40"
"06-28-25 / 12:20 PM","Upper","309","2","6","23"
"06-28-25 / 01:28 AM","Lower Box","133","25","2","72"
"06-28-25 / 12:07 AM","Upper","329","12","2","32"
"06-27-25 / 07:31 PM","Left Field Bleachers","187","3","5","25"
"06-27-25 / 05:04 PM","Upper","318","9","2","30"
"06-27-25 / 02:22 PM","Lower Box","123","29","2","76"
"06-27-25 / 06:11 AM","Field","150","31","2","38"
"06-27-25 / 01:20 AM","Left Field Bleachers","181","5","2","27"
"06-27-25 / 12:25 AM","Lower Box","131","24","2","84"
"06-26-25 / 11:31 PM","Lower Box","128","32","2","66"
"06-26-25 / 11:30 PM","Lower Box","139","10","0","86"
"06-26-25 / 07:14 PM","Upper","337","25","4","22"
"06-26-25 / 06:34 PM","Field","142","38","6","49"
"06-26-25 / 04:31 PM","Lower Box","139","40","6","66"
"06-26-25 / 04:23 PM","Upper","340","9","2","24"
"06-26-25 / 01:54 PM","Field","114","1","0","113"
"06-26-25 / 12:11 AM","Lower Outfield","108","26","2","45"
"06-25-25 / 11:31 PM","Upper","319","25","5","28"
"06-25-25 / 11:05 PM","Upper","330","13","2","31"
"06-25-25 / 08:44 PM","Lower Outfield","105","33","2","37"
"06-25-25 / 07:49 PM","Lower Outfield","108","27","2","45"
"06-25-25 / 05:55 PM","Lower Box","135","25","2","71"
"06-25-25 / 04:44 PM","Field","110","29","2","35"
"06-25-25 / 10:34 AM","Left Field Bleachers","186","1","5","32"
"06-25-25 / 09:07 AM","Upper","318","11","6","29"
"06-25-25 / 01:18 AM","Upper","320","4","2","34"
"06-25-25 / 01:15 AM","Lower Box","120","21","2","72"
"06-25-25 / 12:53 AM","Terrace Club","227","6","2","91"
"06-24-25 / 10:52 PM","Terrace Club","240","1","0","76"
"06-24-25 / 06:14 PM","Lower Outfield","106","31","2","38"
"06-24-25 / 04:28 PM","Lower Box","139","15","5","78"
"06-24-25 / 11:28 AM","Field","118","3","2","88"
"06-24-25 / 10:28 AM","Lower Box","123","29","5","73"
"06-24-25 / 12:33 AM","Upper","330","25","5","28"
"06-23-25 / 11:38 PM","Lower Box","132","10","2","104"
"06-23-25 / 10:22 PM","Lower Box","125","24","2","84"
"06-23-25 / 07:31 PM","Field","114","14","2","50"
"06-23-25 / 09:06 AM","Upper","309","2","9","24"
"06-23-25 / 12:34 AM","Lower Box","123","30","5","71"
"06-22-25 / 11:13 PM","Terrace Club","223","1","0","99"
"06-22-25 / 08:09 PM","Lower Outfield","108","25","2","52"
