"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"07-05-25 / 02:49 PM","Bleachers","237","3","3","19"
"07-05-25 / 02:34 PM","Grandstand Infield","420C","8","2","11"
"07-05-25 / 01:57 PM","Field Outfield","106","10","4","41"
"07-05-25 / 01:53 PM","Terrace Outfield","312","5","2","19"
"07-05-25 / 01:44 PM","Grandstand Infield","422","10","2","13"
"07-05-25 / 01:36 PM","Grandstand Infield","422","5","7","14"
"07-05-25 / 12:45 PM","Main Infield","216","5","2","63"
"07-05-25 / 11:46 AM","Grandstand Outfield","410","7","11","12"
"07-05-25 / 11:45 AM","Bleachers","203","16","5","22"
"07-05-25 / 11:33 AM","Field MVP","117A","9","3","165"
"07-05-25 / 11:14 AM","Grandstand Infield","420B","8","3","17"
"07-05-25 / 11:09 AM","Main Infield","215","8","0","84"
"07-05-25 / 10:20 AM","Main Infield","227B","4","11","62"
"07-05-25 / 07:40 AM","Main Outfield","208","3","17","36"
"07-05-25 / 02:27 AM","Main Outfield","212","2","2","53"
"07-05-25 / 01:46 AM","Grandstand Infield","416","7","6","13"
"07-05-25 / 01:31 AM","Legends Suite","20","2","0","900"
"07-05-25 / 01:04 AM","Main Outfield","211","2","2","35"
"07-04-25 / 11:05 PM","Terrace Infield","320A","3","2","49"
"07-04-25 / 09:12 PM","Terrace Infield","313","1","2","27"
"07-04-25 / 07:41 PM","Field Outfield","129","1","2","203"
"07-04-25 / 06:50 PM","Terrace Infield","314","2","2","21"
"07-04-25 / 06:00 PM","Grandstand Infield","422","10","2","15"
"07-04-25 / 06:00 PM","Grandstand Outfield","406","13","0","14"
"07-04-25 / 05:31 PM","Main Infield","215","3","6","89"
"07-04-25 / 05:22 PM","Field Outfield","106","10","8","39"
"07-04-25 / 04:00 PM","Main Outfield","211","11","2","32"
"07-04-25 / 01:14 PM","Field Infield","113","6","3","72"
"07-04-25 / 01:06 PM","Field Outfield","106","10","12","38"
"07-04-25 / 12:06 PM","Field Outfield","110","6","4","51"
"07-04-25 / 08:46 AM","Bleachers","237","16","2","16"
"07-04-25 / 05:50 AM","Main Infield","215","5","4","66"
