"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"07-28-25 / 08:45 PM","Infield Box","114","11","2","42"
"07-28-25 / 08:15 PM","Dugout Box","105","24","1","34"
"07-28-25 / 08:06 PM","Dugout Box","106","24","0","40"
"07-28-25 / 07:27 PM","Infield Box","109","12","2","38"
"07-28-25 / 05:53 PM","Solon Club","203","1","2","119"
"07-28-25 / 05:38 PM","Homeplate Box","111","5","2","101"
"07-28-25 / 04:42 PM","Field Box","103","AA","0","45"
"07-28-25 / 04:28 PM","Dugout Box","105","26","0","36"
"07-28-25 / 04:27 PM","Infield Box","110","26","2","30"
"07-28-25 / 03:29 PM","Infield Box","116","4","0","99"
"07-28-25 / 03:00 PM","Homeplate Box","112","18","2","46"
"07-28-25 / 01:20 PM","Infield Box","108","19","2","31"
"07-28-25 / 01:16 PM","Infield Box","108","18","2","31"
"07-28-25 / 10:13 AM","Dugout Box","105","8","0","27"
"07-28-25 / 02:27 AM","Outfield Box","122","6","2","28"
"07-28-25 / 01:55 AM","Outfield Box","122","17","4","24"
"07-28-25 / 01:42 AM","Infield Box","108","11","2","43"
"07-28-25 / 01:40 AM","Field Box","121","11","2","25"
"07-28-25 / 01:39 AM","Field Box","103","9","4","29"
"07-28-25 / 12:28 AM","Dugout Box","117","24","2","29"
"07-27-25 / 11:47 PM","Field Box","103","7","4","29"
"07-27-25 / 11:40 PM","Field Box","103","8","2","29"
"07-27-25 / 11:22 PM","Outfield Box","122","16","3","24"
"07-27-25 / 11:03 PM","Field Box","121","19","2","22"
"07-27-25 / 10:24 PM","Dugout Box","117","16","2","33"
"07-27-25 / 10:13 PM","Infield Box","109","29","2","28"
"07-27-25 / 10:11 PM","Outfield Box","122","15","4","25"
"07-27-25 / 10:03 PM","Homeplate Box","113","20","2","35"
"07-27-25 / 09:43 PM","Field Box","120","28","0","27"
"07-27-25 / 08:45 PM","Dugout Box","107","22","0","41"
"07-27-25 / 08:20 PM","Field Box","120","19","2","25"
"07-27-25 / 08:18 PM","Field Box","104","18","2","25"
